Data       TU     EB        SUP       Qajustada
13/12/2019 000.00 000000.00 000000.00 000000.00
14/12/2019 000.00 000000.00 000000.00 000000.00
15/12/2019 000.00 000000.00 000000.00 000000.00
16/12/2019 000.00 000000.00 000000.00 000000.00
17/12/2019 000.00 000000.00 000000.00 000000.00
18/12/2019 000.00 000000.00 000000.00 000000.00
19/12/2019 000.00 000000.00 000000.00 000000.00
20/12/2019 000.00 000000.00 000000.00 000000.00
21/12/2019 000.00 000000.00 000000.00 000000.00
22/12/2019 000.00 000000.00 000000.00 000000.00
23/12/2019 000.00 000000.00 000000.00 000000.00
24/12/2019 000.00 000000.00 000000.00 000000.00
25/12/2019 000.00 000000.00 000000.00 000000.00
26/12/2019 000.00 000000.00 000000.00 000000.00
27/12/2019 045.38 000053.88 000009.74 000063.62
28/12/2019 044.52 000053.42 000008.48 000061.90
29/12/2019 043.88 000052.96 000007.38 000060.34
30/12/2019 043.35 000052.50 000006.42 000058.92
31/12/2019 042.64 000052.05 000005.59 000057.64
01/01/2020 041.84 000051.60 000004.87 000056.47
02/01/2020 041.86 000051.15 000004.86 000056.01
03/01/2020 047.74 000050.71 000025.52 000076.23
04/01/2020 054.81 000051.45 000063.73 000115.17
05/01/2020 051.64 000057.84 000059.79 000117.63
06/01/2020 049.79 000061.46 000054.57 000116.03
07/01/2020 047.57 000063.61 000047.66 000111.26
08/01/2020 047.28 000064.11 000042.74 000106.85
09/01/2020 048.15 000064.42 000040.40 000104.82
10/01/2020 049.70 000065.32 000041.74 000107.07
11/01/2020 049.89 000067.36 000041.27 000108.63
12/01/2020 048.46 000069.52 000037.31 000106.84
13/01/2020 047.72 000070.61 000033.75 000104.36
14/01/2020 046.29 000071.16 000029.38 000100.54
15/01/2020 045.99 000070.74 000025.92 000096.66
16/01/2020 045.09 000070.13 000022.56 000092.69
17/01/2020 044.19 000069.52 000019.64 000089.17
18/01/2020 043.62 000068.92 000017.10 000086.02
19/01/2020 046.62 000068.33 000022.34 000090.67
20/01/2020 051.07 000068.15 000035.65 000103.80
21/01/2020 051.94 000071.23 000041.79 000113.02
22/01/2020 051.97 000074.98 000045.73 000120.71
23/01/2020 051.72 000078.73 000048.05 000126.77
24/01/2020 053.41 000082.24 000059.40 000141.64
25/01/2020 054.65 000087.13 000073.83 000160.96
26/01/2020 054.16 000093.07 000080.44 000173.51
