Data       TU     EB        SUP       Qajustada
13/12/2019 000.00 000000.00 000000.00 000000.00
14/12/2019 000.00 000000.00 000000.00 000000.00
15/12/2019 000.00 000000.00 000000.00 000000.00
16/12/2019 000.00 000000.00 000000.00 000000.00
17/12/2019 000.00 000000.00 000000.00 000000.00
18/12/2019 000.00 000000.00 000000.00 000000.00
19/12/2019 000.00 000000.00 000000.00 000000.00
20/12/2019 000.00 000000.00 000000.00 000000.00
21/12/2019 000.00 000000.00 000000.00 000000.00
22/12/2019 000.00 000000.00 000000.00 000000.00
23/12/2019 000.00 000000.00 000000.00 000000.00
24/12/2019 000.00 000000.00 000000.00 000000.00
25/12/2019 000.00 000000.00 000000.00 000000.00
26/12/2019 000.00 000000.00 000000.00 000000.00
27/12/2019 047.36 000095.02 000141.52 000236.53
28/12/2019 043.41 000096.13 000127.20 000223.33
29/12/2019 041.66 000095.66 000114.34 000209.99
30/12/2019 039.76 000095.18 000102.77 000197.96
31/12/2019 037.73 000094.71 000092.38 000187.09
01/01/2020 036.99 000094.25 000084.04 000178.29
02/01/2020 036.77 000093.78 000079.43 000173.21
03/01/2020 043.78 000093.32 000118.65 000211.97
04/01/2020 049.49 000092.86 000147.84 000240.70
05/01/2020 053.63 000095.11 000193.23 000288.34
06/01/2020 059.13 000099.78 000311.56 000411.33
07/01/2020 055.46 000108.19 000335.37 000443.57
08/01/2020 052.78 000113.99 000333.85 000447.84
09/01/2020 050.12 000118.04 000317.66 000435.70
10/01/2020 046.56 000120.52 000289.41 000409.92
11/01/2020 045.40 000121.11 000266.78 000387.89
12/01/2020 043.59 000121.14 000240.54 000361.68
13/01/2020 047.65 000120.54 000243.52 000364.06
14/01/2020 052.73 000121.68 000276.16 000397.84
15/01/2020 050.63 000125.67 000269.26 000394.93
16/01/2020 046.81 000128.39 000246.17 000374.56
17/01/2020 046.09 000129.06 000230.05 000359.12
18/01/2020 046.50 000129.38 000218.86 000348.24
19/01/2020 049.30 000129.91 000224.98 000354.88
20/01/2020 047.11 000131.87 000210.78 000342.64
21/01/2020 049.79 000132.68 000219.53 000352.21
22/01/2020 048.22 000134.89 000210.07 000344.96
23/01/2020 050.14 000136.25 000218.13 000354.38
24/01/2020 051.73 000138.65 000233.09 000371.74
25/01/2020 059.23 000141.94 000358.54 000500.48
26/01/2020 063.17 000150.23 000568.03 000718.26
