Data       TU     EB        SUP       Qajustada
13/12/2019 000.00 000000.00 000000.00 000000.00
14/12/2019 000.00 000000.00 000000.00 000000.00
15/12/2019 000.00 000000.00 000000.00 000000.00
16/12/2019 000.00 000000.00 000000.00 000000.00
17/12/2019 000.00 000000.00 000000.00 000000.00
18/12/2019 000.00 000000.00 000000.00 000000.00
19/12/2019 000.00 000000.00 000000.00 000000.00
20/12/2019 000.00 000000.00 000000.00 000000.00
21/12/2019 000.00 000000.00 000000.00 000000.00
22/12/2019 000.00 000000.00 000000.00 000000.00
23/12/2019 000.00 000000.00 000000.00 000000.00
24/12/2019 000.00 000000.00 000000.00 000000.00
25/12/2019 000.00 000000.00 000000.00 000000.00
26/12/2019 000.00 000000.00 000000.00 000000.00
27/12/2019 055.71 000056.11 000028.87 000084.99
28/12/2019 054.23 000056.29 000024.28 000080.57
29/12/2019 053.19 000056.34 000020.58 000076.92
30/12/2019 052.10 000056.30 000017.33 000073.64
31/12/2019 050.67 000056.18 000014.58 000070.76
01/01/2020 049.52 000055.95 000012.26 000068.21
02/01/2020 050.97 000055.68 000021.73 000077.41
03/01/2020 052.49 000055.47 000030.90 000086.38
04/01/2020 056.35 000055.38 000065.36 000120.74
05/01/2020 059.96 000055.62 000097.94 000153.57
06/01/2020 064.09 000056.20 000144.02 000200.22
07/01/2020 066.24 000057.21 000158.66 000215.87
08/01/2020 067.64 000058.46 000164.43 000222.90
09/01/2020 068.13 000059.88 000159.58 000219.46
10/01/2020 070.61 000061.35 000191.07 000252.42
11/01/2020 072.86 000063.12 000223.09 000286.21
12/01/2020 073.84 000065.19 000231.04 000296.23
13/01/2020 075.21 000067.38 000251.08 000318.46
14/01/2020 075.98 000069.75 000259.96 000329.71
15/01/2020 075.86 000072.23 000251.93 000324.16
16/01/2020 075.69 000074.67 000243.81 000318.48
17/01/2020 071.78 000077.08 000205.02 000282.10
18/01/2020 068.86 000078.93 000172.41 000251.34
19/01/2020 067.15 000080.40 000147.89 000228.29
20/01/2020 066.34 000081.64 000132.34 000213.98
21/01/2020 066.25 000082.79 000124.46 000207.24
22/01/2020 066.12 000083.91 000117.31 000201.23
23/01/2020 063.54 000085.02 000098.65 000183.67
24/01/2020 063.64 000085.83 000094.68 000180.51
25/01/2020 065.55 000086.64 000112.49 000199.13
26/01/2020 066.76 000087.67 000121.33 000209.00
