Data       TU     EB        SUP       Qajustada
13/12/2019 000.00 000000.00 000000.00 000000.00
14/12/2019 000.00 000000.00 000000.00 000000.00
15/12/2019 000.00 000000.00 000000.00 000000.00
16/12/2019 000.00 000000.00 000000.00 000000.00
17/12/2019 000.00 000000.00 000000.00 000000.00
18/12/2019 000.00 000000.00 000000.00 000000.00
19/12/2019 000.00 000000.00 000000.00 000000.00
20/12/2019 000.00 000000.00 000000.00 000000.00
21/12/2019 000.00 000000.00 000000.00 000000.00
22/12/2019 000.00 000000.00 000000.00 000000.00
23/12/2019 000.00 000000.00 000000.00 000000.00
24/12/2019 000.00 000000.00 000000.00 000000.00
25/12/2019 000.00 000000.00 000000.00 000000.00
26/12/2019 000.00 000000.00 000000.00 000000.00
27/12/2019 070.73 000035.27 000025.30 000060.57
28/12/2019 068.58 000035.36 000020.08 000055.44
29/12/2019 066.54 000035.33 000015.94 000051.26
30/12/2019 065.04 000035.19 000012.66 000047.85
31/12/2019 064.85 000034.98 000012.05 000047.03
01/01/2020 064.46 000034.77 000011.07 000045.84
02/01/2020 063.42 000034.54 000008.97 000043.51
03/01/2020 063.88 000034.27 000010.20 000044.47
04/01/2020 062.65 000034.03 000008.12 000042.15
05/01/2020 063.28 000033.73 000009.86 000043.59
06/01/2020 064.12 000033.47 000011.96 000045.44
07/01/2020 064.95 000033.26 000013.74 000047.00
08/01/2020 064.60 000033.09 000012.36 000045.45
09/01/2020 062.96 000032.91 000009.81 000042.72
10/01/2020 062.00 000032.65 000007.97 000040.62
11/01/2020 064.72 000032.36 000017.68 000050.04
12/01/2020 066.75 000032.20 000023.17 000055.37
13/01/2020 068.37 000032.15 000026.44 000058.58
14/01/2020 069.63 000032.18 000028.03 000060.20
15/01/2020 069.16 000032.27 000023.97 000056.25
16/01/2020 069.45 000032.34 000022.67 000055.01
17/01/2020 069.05 000032.42 000019.87 000052.30
18/01/2020 067.70 000032.48 000015.87 000048.35
19/01/2020 065.85 000032.47 000012.59 000045.06
20/01/2020 064.08 000032.36 000010.00 000042.36
21/01/2020 062.39 000032.17 000007.93 000040.11
22/01/2020 060.78 000031.91 000006.30 000038.21
23/01/2020 059.41 000031.58 000005.00 000036.58
24/01/2020 057.98 000031.20 000003.97 000035.16
25/01/2020 056.52 000030.77 000003.15 000033.92
26/01/2020 055.13 000030.29 000002.50 000032.79
