Data       TU     EB        SUP       Qajustada
13/12/2019 000.00 000000.00 000000.00 000000.00
14/12/2019 000.00 000000.00 000000.00 000000.00
15/12/2019 000.00 000000.00 000000.00 000000.00
16/12/2019 000.00 000000.00 000000.00 000000.00
17/12/2019 000.00 000000.00 000000.00 000000.00
18/12/2019 000.00 000000.00 000000.00 000000.00
19/12/2019 000.00 000000.00 000000.00 000000.00
20/12/2019 000.00 000000.00 000000.00 000000.00
21/12/2019 000.00 000000.00 000000.00 000000.00
22/12/2019 000.00 000000.00 000000.00 000000.00
23/12/2019 000.00 000000.00 000000.00 000000.00
24/12/2019 000.00 000000.00 000000.00 000000.00
25/12/2019 000.00 000000.00 000000.00 000000.00
26/12/2019 000.00 000000.00 000000.00 000000.00
27/12/2019 066.07 000057.80 000015.16 000072.96
28/12/2019 064.57 000057.71 000010.32 000068.03
29/12/2019 063.22 000057.51 000007.02 000064.53
30/12/2019 062.11 000057.28 000004.78 000062.06
31/12/2019 060.87 000057.05 000003.25 000060.30
01/01/2020 059.63 000056.82 000002.21 000059.03
02/01/2020 058.42 000056.60 000001.50 000058.10
03/01/2020 058.19 000056.37 000004.18 000060.55
04/01/2020 060.46 000056.14 000034.95 000091.10
05/01/2020 060.71 000055.92 000031.42 000087.34
06/01/2020 059.90 000055.70 000021.62 000077.32
07/01/2020 059.09 000055.47 000014.94 000070.41
08/01/2020 059.09 000055.25 000015.74 000071.00
09/01/2020 059.19 000055.03 000017.01 000072.04
10/01/2020 060.08 000054.81 000024.97 000079.78
11/01/2020 060.47 000054.59 000025.77 000080.36
12/01/2020 061.85 000054.37 000037.47 000091.85
13/01/2020 065.00 000054.16 000079.69 000133.84
14/01/2020 066.26 000054.00 000076.09 000130.09
15/01/2020 067.23 000053.94 000071.65 000125.60
16/01/2020 065.66 000053.96 000048.75 000102.72
17/01/2020 064.54 000053.86 000033.22 000087.07
18/01/2020 064.37 000053.67 000027.48 000081.15
19/01/2020 064.18 000053.47 000023.24 000076.71
20/01/2020 062.85 000053.25 000015.81 000069.07
21/01/2020 061.65 000053.04 000010.76 000063.80
22/01/2020 060.40 000052.83 000007.32 000060.15
23/01/2020 059.35 000052.62 000004.98 000057.60
24/01/2020 058.92 000052.41 000005.19 000057.60
25/01/2020 058.41 000052.20 000004.81 000057.01
26/01/2020 057.78 000051.99 000003.97 000055.96
