Data       TU     EB        SUP       Qajustada
28/12/2019 000.00 000000.00 000000.00 000000.00
29/12/2019 000.00 000000.00 000000.00 000000.00
30/12/2019 000.00 000000.00 000000.00 000000.00
31/12/2019 000.00 000000.00 000000.00 000000.00
01/01/2020 000.00 000000.00 000000.00 000000.00
02/01/2020 000.00 000000.00 000000.00 000000.00
03/01/2020 000.00 000000.00 000000.00 000000.00
04/01/2020 000.00 000000.00 000000.00 000000.00
05/01/2020 000.00 000000.00 000000.00 000000.00
06/01/2020 000.00 000000.00 000000.00 000000.00
07/01/2020 000.00 000000.00 000000.00 000000.00
08/01/2020 000.00 000000.00 000000.00 000000.00
09/01/2020 000.00 000000.00 000000.00 000000.00
10/01/2020 000.00 000000.00 000000.00 000000.00
11/01/2020 042.51 000062.94 000073.22 000136.17
12/01/2020 037.57 000064.85 000055.10 000119.94
13/01/2020 033.58 000065.62 000038.96 000104.58
14/01/2020 036.27 000065.66 000040.66 000106.32
15/01/2020 037.58 000066.18 000041.19 000107.37
16/01/2020 034.92 000066.94 000031.82 000098.77
17/01/2020 032.11 000067.20 000022.50 000089.70
18/01/2020 032.73 000066.99 000020.59 000087.58
19/01/2020 031.82 000066.88 000016.67 000083.55
20/01/2020 030.21 000066.62 000011.79 000078.41
21/01/2020 029.39 000066.14 000008.37 000074.51
22/01/2020 029.80 000065.63 000008.64 000074.28
23/01/2020 037.10 000065.13 000035.63 000100.76
24/01/2020 044.13 000065.81 000078.58 000144.39
25/01/2020 040.65 000068.10 000066.35 000134.45
26/01/2020 035.88 000069.52 000047.87 000117.39
27/01/2020 032.52 000069.94 000033.85 000103.78
28/01/2020 030.49 000069.77 000023.93 000093.70
29/01/2020 030.33 000069.30 000019.00 000088.31
30/01/2020 032.23 000068.81 000019.70 000088.52
31/01/2020 038.24 000068.61 000041.01 000109.62
01/02/2020 035.88 000069.50 000032.95 000102.44
02/02/2020 037.36 000069.91 000036.22 000106.12
03/02/2020 033.39 000070.61 000025.61 000096.21
04/02/2020 031.27 000070.57 000018.11 000088.68
05/02/2020 041.76 000070.21 000072.98 000143.19
06/02/2020 049.88 000071.87 000155.77 000227.64
07/02/2020 051.39 000075.77 000209.89 000285.66
08/02/2020 041.94 000080.12 000156.42 000236.54
09/02/2020 036.12 000081.75 000110.94 000192.69
10/02/2020 032.88 000082.11 000078.46 000160.57
