Data       TU     EB        SUP       Qajustada
28/12/2019 000.00 000000.00 000000.00 000000.00
29/12/2019 000.00 000000.00 000000.00 000000.00
30/12/2019 000.00 000000.00 000000.00 000000.00
31/12/2019 000.00 000000.00 000000.00 000000.00
01/01/2020 000.00 000000.00 000000.00 000000.00
02/01/2020 000.00 000000.00 000000.00 000000.00
03/01/2020 000.00 000000.00 000000.00 000000.00
04/01/2020 000.00 000000.00 000000.00 000000.00
05/01/2020 000.00 000000.00 000000.00 000000.00
06/01/2020 000.00 000000.00 000000.00 000000.00
07/01/2020 000.00 000000.00 000000.00 000000.00
08/01/2020 000.00 000000.00 000000.00 000000.00
09/01/2020 000.00 000000.00 000000.00 000000.00
10/01/2020 000.00 000000.00 000000.00 000000.00
11/01/2020 031.54 000223.31 000032.47 000255.79
12/01/2020 030.30 000222.55 000024.15 000246.70
13/01/2020 029.52 000221.07 000018.08 000239.15
14/01/2020 028.74 000219.43 000013.38 000232.81
15/01/2020 027.86 000217.80 000009.90 000227.70
16/01/2020 026.92 000216.18 000007.32 000223.50
17/01/2020 030.37 000214.58 000042.68 000257.26
18/01/2020 034.95 000213.19 000089.19 000302.38
19/01/2020 038.87 000214.81 000146.68 000361.49
20/01/2020 040.65 000219.58 000186.15 000405.74
21/01/2020 036.79 000225.96 000149.69 000375.65
22/01/2020 034.02 000228.90 000115.00 000343.91
23/01/2020 034.53 000229.73 000107.65 000337.38
24/01/2020 037.94 000230.92 000146.55 000377.47
25/01/2020 043.78 000234.77 000281.30 000516.06
26/01/2020 048.69 000244.18 000493.71 000737.88
27/01/2020 047.19 000259.19 000534.72 000793.91
28/01/2020 043.56 000272.27 000469.88 000742.15
29/01/2020 041.77 000281.17 000409.36 000690.53
30/01/2020 040.91 000288.17 000361.27 000649.45
31/01/2020 037.40 000294.29 000283.28 000577.58
01/02/2020 033.85 000297.22 000210.05 000507.27
02/02/2020 034.00 000297.43 000174.32 000471.75
03/02/2020 036.19 000297.74 000172.79 000470.52
04/02/2020 036.60 000299.66 000160.92 000460.59
05/02/2020 041.31 000301.91 000238.63 000540.54
06/02/2020 043.20 000308.31 000291.70 000600.02
07/02/2020 046.27 000316.57 000407.88 000724.44
08/02/2020 046.32 000328.14 000463.01 000791.15
09/02/2020 042.39 000339.69 000399.35 000739.04
10/02/2020 038.16 000346.88 000313.04 000659.92
