Data       TU     EB        SUP       Qajustada
28/12/2019 000.00 000000.00 000000.00 000000.00
29/12/2019 000.00 000000.00 000000.00 000000.00
30/12/2019 000.00 000000.00 000000.00 000000.00
31/12/2019 000.00 000000.00 000000.00 000000.00
01/01/2020 000.00 000000.00 000000.00 000000.00
02/01/2020 000.00 000000.00 000000.00 000000.00
03/01/2020 000.00 000000.00 000000.00 000000.00
04/01/2020 000.00 000000.00 000000.00 000000.00
05/01/2020 000.00 000000.00 000000.00 000000.00
06/01/2020 000.00 000000.00 000000.00 000000.00
07/01/2020 000.00 000000.00 000000.00 000000.00
08/01/2020 000.00 000000.00 000000.00 000000.00
09/01/2020 000.00 000000.00 000000.00 000000.00
10/01/2020 000.00 000000.00 000000.00 000000.00
11/01/2020 034.04 000198.04 000538.21 000736.25
12/01/2020 032.56 000201.73 000471.90 000673.63
13/01/2020 031.21 000203.62 000405.46 000609.08
14/01/2020 030.22 000204.00 000347.11 000551.11
15/01/2020 029.13 000203.35 000295.43 000498.79
16/01/2020 028.07 000202.50 000251.45 000453.95
17/01/2020 027.46 000201.64 000215.31 000416.95
18/01/2020 033.81 000200.79 000345.58 000546.37
19/01/2020 034.06 000204.18 000333.95 000538.12
20/01/2020 033.80 000207.86 000317.05 000524.92
21/01/2020 034.79 000211.21 000323.91 000535.12
22/01/2020 035.97 000215.80 000343.95 000559.74
23/01/2020 038.36 000221.95 000411.41 000633.36
24/01/2020 043.53 000231.56 000652.43 000883.99
25/01/2020 045.70 000249.96 000871.68 001121.64
26/01/2020 042.45 000272.51 000861.54 001134.05
27/01/2020 037.03 000288.75 000749.06 001037.80
28/01/2020 034.19 000296.09 000648.75 000944.84
29/01/2020 035.47 000299.55 000616.42 000915.97
30/01/2020 033.52 000304.67 000542.16 000846.83
31/01/2020 033.44 000307.27 000493.62 000800.88
01/02/2020 031.81 000309.76 000424.76 000734.52
02/02/2020 030.63 000310.34 000365.78 000676.12
03/02/2020 030.28 000309.67 000326.68 000636.35
04/02/2020 033.38 000308.65 000359.18 000667.83
05/02/2020 032.72 000311.05 000334.37 000645.42
06/02/2020 036.36 000312.67 000409.54 000722.21
07/02/2020 043.50 000318.96 000730.28 001049.24
08/02/2020 043.80 000336.93 000851.33 001188.26
09/02/2020 043.78 000355.39 000878.95 001234.34
10/02/2020 041.44 000373.73 000900.23 001273.96
