Data       TU     EB        SUP       Qajustada
28/12/2019 000.00 000000.00 000000.00 000000.00
29/12/2019 000.00 000000.00 000000.00 000000.00
30/12/2019 000.00 000000.00 000000.00 000000.00
31/12/2019 000.00 000000.00 000000.00 000000.00
01/01/2020 000.00 000000.00 000000.00 000000.00
02/01/2020 000.00 000000.00 000000.00 000000.00
03/01/2020 000.00 000000.00 000000.00 000000.00
04/01/2020 000.00 000000.00 000000.00 000000.00
05/01/2020 000.00 000000.00 000000.00 000000.00
06/01/2020 000.00 000000.00 000000.00 000000.00
07/01/2020 000.00 000000.00 000000.00 000000.00
08/01/2020 000.00 000000.00 000000.00 000000.00
09/01/2020 000.00 000000.00 000000.00 000000.00
10/01/2020 000.00 000000.00 000000.00 000000.00
11/01/2020 073.30 000063.98 000051.14 000115.11
12/01/2020 073.09 000063.81 000042.86 000106.67
13/01/2020 073.97 000063.65 000052.68 000116.33
14/01/2020 075.20 000063.48 000069.94 000133.42
15/01/2020 076.08 000063.32 000075.98 000139.30
16/01/2020 075.72 000063.15 000061.49 000124.64
17/01/2020 076.20 000062.99 000061.25 000124.24
18/01/2020 076.17 000062.83 000053.50 000116.32
19/01/2020 075.47 000062.66 000042.46 000105.12
20/01/2020 074.72 000062.50 000033.70 000096.20
21/01/2020 073.97 000062.34 000026.75 000089.09
22/01/2020 073.13 000062.18 000021.23 000083.41
23/01/2020 072.51 000062.02 000016.88 000078.89
24/01/2020 072.59 000061.85 000018.92 000080.77
25/01/2020 072.89 000061.69 000023.19 000084.89
26/01/2020 072.76 000061.53 000021.42 000082.95
27/01/2020 072.06 000061.37 000017.00 000078.37
28/01/2020 071.35 000061.22 000013.49 000074.71
29/01/2020 070.57 000061.06 000010.71 000071.77
30/01/2020 070.08 000060.90 000008.75 000069.65
31/01/2020 070.79 000060.74 000020.69 000081.43
01/02/2020 072.10 000060.58 000043.10 000103.68
02/02/2020 073.78 000060.43 000072.68 000133.11
03/02/2020 075.64 000060.27 000103.01 000163.28
04/02/2020 077.90 000060.11 000137.23 000197.34
05/02/2020 078.48 000061.87 000145.73 000207.60
06/02/2020 078.05 000064.42 000138.93 000203.35
07/02/2020 077.68 000066.37 000129.26 000195.64
08/02/2020 077.09 000067.81 000115.09 000182.90
09/02/2020 076.65 000068.43 000099.21 000167.64
10/02/2020 078.83 000068.46 000142.79 000211.25
