Data       TU     EB        SUP       Qajustada
28/12/2019 000.00 000000.00 000000.00 000000.00
29/12/2019 000.00 000000.00 000000.00 000000.00
30/12/2019 000.00 000000.00 000000.00 000000.00
31/12/2019 000.00 000000.00 000000.00 000000.00
01/01/2020 000.00 000000.00 000000.00 000000.00
02/01/2020 000.00 000000.00 000000.00 000000.00
03/01/2020 000.00 000000.00 000000.00 000000.00
04/01/2020 000.00 000000.00 000000.00 000000.00
05/01/2020 000.00 000000.00 000000.00 000000.00
06/01/2020 000.00 000000.00 000000.00 000000.00
07/01/2020 000.00 000000.00 000000.00 000000.00
08/01/2020 000.00 000000.00 000000.00 000000.00
09/01/2020 000.00 000000.00 000000.00 000000.00
10/01/2020 000.00 000000.00 000000.00 000000.00
11/01/2020 045.02 000086.49 000069.47 000155.96
12/01/2020 049.47 000087.51 000127.53 000215.04
13/01/2020 051.56 000089.25 000140.18 000229.42
14/01/2020 051.14 000091.34 000121.37 000212.71
15/01/2020 050.59 000093.34 000105.51 000198.85
16/01/2020 049.93 000095.23 000091.99 000187.22
17/01/2020 048.68 000096.98 000076.93 000173.91
18/01/2020 047.96 000098.51 000068.02 000166.53
19/01/2020 047.87 000099.90 000065.72 000165.62
20/01/2020 048.85 000101.27 000074.62 000175.89
21/01/2020 050.20 000102.79 000087.68 000190.47
22/01/2020 047.80 000104.54 000066.49 000171.03
23/01/2020 045.22 000105.86 000050.39 000156.25
24/01/2020 043.59 000106.76 000038.77 000145.54
25/01/2020 042.71 000107.42 000034.16 000141.58
26/01/2020 041.80 000107.95 000029.68 000137.63
27/01/2020 040.52 000108.34 000023.22 000131.57
28/01/2020 039.01 000108.57 000017.60 000126.17
29/01/2020 037.46 000108.61 000013.34 000121.95
30/01/2020 035.96 000108.47 000010.11 000118.58
31/01/2020 034.90 000108.16 000007.70 000115.86
01/02/2020 034.37 000107.75 000007.84 000115.59
02/02/2020 034.56 000107.29 000012.99 000120.29
03/02/2020 037.52 000106.86 000040.11 000146.96
04/02/2020 042.30 000106.74 000091.50 000198.23
05/02/2020 049.56 000107.21 000202.80 000310.01
06/02/2020 055.72 000108.81 000294.24 000403.04
07/02/2020 060.14 000111.56 000348.14 000459.69
08/02/2020 061.28 000115.23 000323.62 000438.86
09/02/2020 059.31 000119.14 000258.94 000378.08
10/02/2020 057.01 000122.58 000204.24 000326.81
