Data       TU     EB        SUP       Qajustada
28/12/2019 000.00 000000.00 000000.00 000000.00
29/12/2019 000.00 000000.00 000000.00 000000.00
30/12/2019 000.00 000000.00 000000.00 000000.00
31/12/2019 000.00 000000.00 000000.00 000000.00
01/01/2020 000.00 000000.00 000000.00 000000.00
02/01/2020 000.00 000000.00 000000.00 000000.00
03/01/2020 000.00 000000.00 000000.00 000000.00
04/01/2020 000.00 000000.00 000000.00 000000.00
05/01/2020 000.00 000000.00 000000.00 000000.00
06/01/2020 000.00 000000.00 000000.00 000000.00
07/01/2020 000.00 000000.00 000000.00 000000.00
08/01/2020 000.00 000000.00 000000.00 000000.00
09/01/2020 000.00 000000.00 000000.00 000000.00
10/01/2020 000.00 000000.00 000000.00 000000.00
11/01/2020 037.40 000194.74 000441.79 000636.53
12/01/2020 034.77 000200.08 000424.96 000625.04
13/01/2020 030.86 000202.60 000378.79 000581.39
14/01/2020 028.27 000201.60 000337.46 000539.06
15/01/2020 025.95 000199.94 000300.65 000500.59
16/01/2020 023.92 000198.30 000267.84 000466.14
17/01/2020 023.52 000196.67 000252.41 000449.08
18/01/2020 022.88 000195.05 000233.79 000428.85
19/01/2020 025.76 000193.45 000257.53 000450.98
20/01/2020 029.80 000191.86 000294.76 000486.62
21/01/2020 032.85 000190.28 000319.64 000509.93
22/01/2020 032.20 000191.07 000315.03 000506.10
23/01/2020 030.69 000191.28 000291.73 000483.01
24/01/2020 041.79 000190.23 000481.36 000671.60
25/01/2020 047.64 000201.03 000692.24 000893.27
26/01/2020 053.75 000220.46 001121.90 001342.36
27/01/2020 055.06 000250.69 001539.00 001789.68
28/01/2020 051.34 000283.25 001627.65 001910.91
29/01/2020 048.61 000308.42 001676.09 001984.52
30/01/2020 039.79 000328.60 001593.59 001922.19
31/01/2020 033.52 000335.68 001427.14 001762.82
01/02/2020 032.43 000335.88 001306.67 001642.55
02/02/2020 033.39 000335.10 001223.47 001558.57
03/02/2020 034.60 000335.18 001157.52 001492.70
04/02/2020 031.27 000336.42 001040.78 001377.20
05/02/2020 029.03 000334.65 000933.99 001268.64
06/02/2020 028.09 000331.90 000847.45 001179.35
07/02/2020 032.63 000329.18 000845.94 001175.12
08/02/2020 038.60 000328.63 000894.76 001223.39
09/02/2020 042.37 000334.25 000962.08 001296.33
10/02/2020 043.80 000344.65 001024.89 001369.54
