                   RETIRO BAIXO          TRÊS MARIAS             QUEIMADO
                            155                  156                  158
                          TOTAL          INCREMENTAL                TOTAL
11/02/2020               442.06              1343.58                47.15
12/02/2020               415.03              1341.63                45.41
13/02/2020               416.20              1428.29                45.19
14/02/2020               440.53              1497.03                45.77
15/02/2020               470.27              1482.48                46.45
16/02/2020               486.76              1420.65                46.94
17/02/2020               467.20              1326.87                46.85
18/02/2020               427.92              1236.45                48.04
19/02/2020               378.96              1152.61                47.76
20/02/2020               344.55              1084.32                46.28
21/02/2020               322.74              1026.03                45.58
22/02/2020               305.79               975.32                45.17
