Data       TU     EB        SUP       Qajustada
29/12/2019 000.00 000000.00 000000.00 000000.00
30/12/2019 000.00 000000.00 000000.00 000000.00
31/12/2019 000.00 000000.00 000000.00 000000.00
01/01/2020 000.00 000000.00 000000.00 000000.00
02/01/2020 000.00 000000.00 000000.00 000000.00
03/01/2020 000.00 000000.00 000000.00 000000.00
04/01/2020 000.00 000000.00 000000.00 000000.00
05/01/2020 000.00 000000.00 000000.00 000000.00
06/01/2020 000.00 000000.00 000000.00 000000.00
07/01/2020 000.00 000000.00 000000.00 000000.00
08/01/2020 000.00 000000.00 000000.00 000000.00
09/01/2020 000.00 000000.00 000000.00 000000.00
10/01/2020 000.00 000000.00 000000.00 000000.00
11/01/2020 000.00 000000.00 000000.00 000000.00
12/01/2020 047.70 000064.56 000051.72 000116.27
13/01/2020 045.84 000065.17 000048.51 000113.68
14/01/2020 050.76 000065.46 000061.70 000127.16
15/01/2020 045.96 000066.65 000055.54 000122.19
16/01/2020 041.80 000066.95 000048.96 000115.91
17/01/2020 039.91 000066.64 000043.17 000109.81
18/01/2020 039.10 000066.33 000038.25 000104.58
19/01/2020 038.80 000066.03 000034.58 000100.61
20/01/2020 040.97 000065.72 000034.91 000100.63
21/01/2020 045.71 000065.42 000041.37 000106.79
22/01/2020 042.06 000065.69 000036.47 000102.16
23/01/2020 039.99 000065.39 000032.15 000097.55
24/01/2020 046.54 000065.09 000044.57 000109.66
25/01/2020 048.25 000065.50 000048.40 000113.89
26/01/2020 043.73 000066.21 000042.67 000108.87
27/01/2020 040.70 000066.16 000037.61 000103.77
28/01/2020 038.63 000065.85 000033.16 000099.01
29/01/2020 038.26 000065.55 000029.96 000095.51
30/01/2020 037.96 000065.25 000027.25 000092.49
31/01/2020 037.30 000064.94 000024.33 000089.27
01/02/2020 035.60 000064.64 000021.45 000086.09
02/02/2020 034.79 000064.35 000019.09 000083.44
03/02/2020 037.83 000064.05 000022.99 000087.04
04/02/2020 050.11 000063.75 000066.04 000129.80
05/02/2020 059.65 000064.82 000134.31 000199.13
06/02/2020 057.97 000068.05 000164.67 000232.72
07/02/2020 056.77 000070.84 000182.40 000253.24
08/02/2020 059.39 000073.32 000223.23 000296.55
09/02/2020 052.54 000076.44 000209.02 000285.47
10/02/2020 044.75 000077.95 000184.27 000262.22
11/02/2020 047.95 000078.00 000173.71 000251.71
