Data       TU     EB        SUP       Qajustada
29/12/2019 000.00 000000.00 000000.00 000000.00
30/12/2019 000.00 000000.00 000000.00 000000.00
31/12/2019 000.00 000000.00 000000.00 000000.00
01/01/2020 000.00 000000.00 000000.00 000000.00
02/01/2020 000.00 000000.00 000000.00 000000.00
03/01/2020 000.00 000000.00 000000.00 000000.00
04/01/2020 000.00 000000.00 000000.00 000000.00
05/01/2020 000.00 000000.00 000000.00 000000.00
06/01/2020 000.00 000000.00 000000.00 000000.00
07/01/2020 000.00 000000.00 000000.00 000000.00
08/01/2020 000.00 000000.00 000000.00 000000.00
09/01/2020 000.00 000000.00 000000.00 000000.00
10/01/2020 000.00 000000.00 000000.00 000000.00
11/01/2020 000.00 000000.00 000000.00 000000.00
12/01/2020 043.18 000048.04 000038.45 000086.49
13/01/2020 041.73 000047.67 000022.56 000070.23
14/01/2020 040.59 000047.20 000013.38 000060.58
15/01/2020 040.33 000046.65 000011.65 000058.31
16/01/2020 041.37 000046.10 000015.89 000061.99
17/01/2020 041.07 000045.64 000013.18 000058.82
18/01/2020 039.63 000045.16 000007.73 000052.90
19/01/2020 038.27 000044.59 000004.54 000049.13
20/01/2020 036.98 000043.95 000002.66 000046.61
21/01/2020 035.74 000043.23 000001.56 000044.79
22/01/2020 034.67 000042.46 000000.92 000043.38
23/01/2020 033.76 000041.64 000000.54 000042.18
24/01/2020 032.78 000040.80 000000.32 000041.11
25/01/2020 031.87 000039.92 000000.19 000040.10
26/01/2020 031.03 000039.02 000000.11 000039.13
27/01/2020 030.12 000038.13 000000.06 000038.19
28/01/2020 029.25 000037.25 000000.04 000037.29
29/01/2020 029.95 000036.40 000005.30 000041.71
30/01/2020 033.98 000035.57 000026.89 000062.46
31/01/2020 034.82 000034.88 000022.23 000057.10
01/02/2020 033.84 000034.24 000013.04 000047.28
02/02/2020 040.23 000033.57 000054.90 000088.47
03/02/2020 045.63 000033.31 000075.61 000108.92
04/02/2020 044.27 000033.48 000044.42 000077.91
05/02/2020 042.96 000033.53 000026.10 000059.64
06/02/2020 041.87 000033.48 000015.51 000048.99
07/02/2020 041.13 000033.34 000010.12 000043.46
08/02/2020 041.81 000033.15 000012.66 000045.81
09/02/2020 043.20 000033.02 000017.81 000050.83
10/02/2020 042.12 000033.00 000010.69 000043.68
11/02/2020 040.78 000032.89 000006.27 000039.16
