Data       TU     EB        SUP       Qajustada
24/12/2019 000.00 000000.00 000000.00 000000.00
25/12/2019 000.00 000000.00 000000.00 000000.00
26/12/2019 000.00 000000.00 000000.00 000000.00
27/12/2019 000.00 000000.00 000000.00 000000.00
28/12/2019 000.00 000000.00 000000.00 000000.00
29/12/2019 000.00 000000.00 000000.00 000000.00
30/12/2019 000.00 000000.00 000000.00 000000.00
31/12/2019 000.00 000000.00 000000.00 000000.00
01/01/2020 000.00 000000.00 000000.00 000000.00
02/01/2020 000.00 000000.00 000000.00 000000.00
03/01/2020 000.00 000000.00 000000.00 000000.00
04/01/2020 000.00 000000.00 000000.00 000000.00
05/01/2020 000.00 000000.00 000000.00 000000.00
06/01/2020 000.00 000000.00 000000.00 000000.00
07/01/2020 000.00 000000.00 000000.00 000000.00
08/01/2020 000.00 000000.00 000000.00 000000.00
09/01/2020 000.00 000000.00 000000.00 000000.00
10/01/2020 000.00 000000.00 000000.00 000000.00
11/01/2020 000.00 000000.00 000000.00 000000.00
12/01/2020 070.04 000178.74 000492.37 000671.11
13/01/2020 069.18 000182.58 000418.05 000600.63
14/01/2020 070.53 000186.19 000437.75 000623.94
15/01/2020 073.42 000190.06 000563.71 000753.77
16/01/2020 073.40 000194.56 000511.41 000705.98
17/01/2020 070.83 000199.01 000406.12 000605.13
18/01/2020 068.88 000202.82 000325.86 000528.68
19/01/2020 070.11 000206.15 000356.81 000562.96
20/01/2020 067.52 000209.72 000283.20 000492.92
21/01/2020 064.75 000212.68 000224.77 000437.46
22/01/2020 062.13 000215.04 000178.40 000393.44
23/01/2020 059.79 000216.85 000141.60 000358.45
24/01/2020 060.30 000218.21 000155.48 000373.69
25/01/2020 059.54 000219.65 000138.41 000358.06
26/01/2020 059.40 000220.93 000137.37 000358.30
27/01/2020 057.17 000222.18 000109.03 000331.21
28/01/2020 055.01 000223.02 000086.54 000309.56
29/01/2020 053.07 000223.49 000068.68 000292.17
30/01/2020 052.67 000223.65 000071.05 000294.70
31/01/2020 054.38 000223.74 000118.48 000342.22
01/02/2020 053.93 000224.10 000110.51 000334.61
02/02/2020 054.15 000224.38 000113.74 000338.13
03/02/2020 056.57 000224.70 000175.64 000400.34
04/02/2020 059.84 000225.41 000268.42 000493.83
05/02/2020 067.28 000226.69 000685.11 000911.80
06/02/2020 068.17 000229.43 000615.55 000844.97
07/02/2020 065.72 000232.32 000488.56 000720.88
08/02/2020 063.57 000234.67 000387.80 000622.48
09/02/2020 061.40 000236.56 000307.80 000544.36
10/02/2020 059.39 000238.02 000244.30 000482.32
11/02/2020 057.46 000239.08 000193.90 000432.98
