Data       TU     EB        SUP       Qajustada
29/12/2019 000.00 000000.00 000000.00 000000.00
30/12/2019 000.00 000000.00 000000.00 000000.00
31/12/2019 000.00 000000.00 000000.00 000000.00
01/01/2020 000.00 000000.00 000000.00 000000.00
02/01/2020 000.00 000000.00 000000.00 000000.00
03/01/2020 000.00 000000.00 000000.00 000000.00
04/01/2020 000.00 000000.00 000000.00 000000.00
05/01/2020 000.00 000000.00 000000.00 000000.00
06/01/2020 000.00 000000.00 000000.00 000000.00
07/01/2020 000.00 000000.00 000000.00 000000.00
08/01/2020 000.00 000000.00 000000.00 000000.00
09/01/2020 000.00 000000.00 000000.00 000000.00
10/01/2020 000.00 000000.00 000000.00 000000.00
11/01/2020 000.00 000000.00 000000.00 000000.00
12/01/2020 055.15 000160.24 000255.53 000415.77
13/01/2020 052.33 000164.10 000216.66 000380.75
14/01/2020 049.83 000167.14 000183.69 000350.84
15/01/2020 047.51 000169.51 000155.75 000325.26
16/01/2020 045.42 000171.31 000132.05 000303.36
17/01/2020 043.73 000172.62 000111.96 000284.58
18/01/2020 042.33 000173.56 000095.23 000268.79
19/01/2020 042.66 000174.21 000098.41 000272.62
20/01/2020 042.19 000174.93 000093.38 000268.31
21/01/2020 042.63 000175.54 000097.95 000273.50
22/01/2020 045.65 000176.24 000146.30 000322.54
23/01/2020 049.64 000177.56 000221.26 000398.82
24/01/2020 053.98 000179.81 000313.21 000493.03
25/01/2020 056.52 000183.20 000351.45 000534.65
26/01/2020 057.78 000187.30 000357.55 000544.84
27/01/2020 057.96 000191.75 000341.62 000533.36
28/01/2020 059.01 000196.22 000348.54 000544.76
29/01/2020 056.62 000200.99 000297.23 000498.22
30/01/2020 057.17 000204.99 000295.18 000500.17
31/01/2020 057.35 000209.13 000287.34 000496.47
01/02/2020 058.49 000213.29 000302.76 000516.05
02/02/2020 055.18 000217.77 000256.70 000474.47
03/02/2020 052.31 000221.23 000217.65 000438.88
04/02/2020 051.11 000223.87 000195.63 000419.50
05/02/2020 050.67 000226.17 000186.85 000413.01
06/02/2020 054.08 000228.34 000266.56 000494.90
07/02/2020 058.61 000231.41 000398.48 000629.89
08/02/2020 063.72 000235.80 000584.77 000820.57
09/02/2020 067.06 000241.86 000698.76 000940.63
10/02/2020 067.97 000249.09 000704.62 000953.71
11/02/2020 067.36 000256.61 000659.47 000916.08
