Data       TU     EB        SUP       Qajustada
29/12/2019 000.00 000000.00 000000.00 000000.00
30/12/2019 000.00 000000.00 000000.00 000000.00
31/12/2019 000.00 000000.00 000000.00 000000.00
01/01/2020 000.00 000000.00 000000.00 000000.00
02/01/2020 000.00 000000.00 000000.00 000000.00
03/01/2020 000.00 000000.00 000000.00 000000.00
04/01/2020 000.00 000000.00 000000.00 000000.00
05/01/2020 000.00 000000.00 000000.00 000000.00
06/01/2020 000.00 000000.00 000000.00 000000.00
07/01/2020 000.00 000000.00 000000.00 000000.00
08/01/2020 000.00 000000.00 000000.00 000000.00
09/01/2020 000.00 000000.00 000000.00 000000.00
10/01/2020 000.00 000000.00 000000.00 000000.00
11/01/2020 000.00 000000.00 000000.00 000000.00
12/01/2020 043.32 000173.75 000025.30 000199.05
13/01/2020 043.16 000173.41 000021.92 000195.33
14/01/2020 042.78 000173.07 000016.85 000189.92
15/01/2020 042.16 000172.73 000012.47 000185.19
16/01/2020 041.74 000172.38 000009.52 000181.89
17/01/2020 041.39 000172.02 000007.67 000179.69
18/01/2020 040.81 000171.66 000005.67 000177.34
19/01/2020 040.21 000171.30 000004.20 000175.50
20/01/2020 039.66 000170.93 000003.11 000174.03
21/01/2020 039.12 000170.55 000002.30 000172.85
22/01/2020 038.98 000170.16 000004.50 000174.67
23/01/2020 040.21 000169.78 000025.43 000195.21
24/01/2020 040.64 000169.41 000028.83 000198.24
25/01/2020 040.45 000169.05 000023.70 000192.75
26/01/2020 039.89 000168.69 000017.53 000186.22
27/01/2020 039.35 000168.32 000012.97 000181.29
28/01/2020 038.79 000167.95 000009.59 000177.54
29/01/2020 038.28 000167.57 000007.10 000174.66
30/01/2020 038.59 000167.18 000013.38 000180.56
31/01/2020 039.48 000166.80 000026.04 000192.84
01/02/2020 039.62 000166.43 000025.76 000192.19
02/02/2020 039.81 000166.07 000026.90 000192.97
03/02/2020 040.88 000165.70 000040.81 000206.51
04/02/2020 043.00 000165.35 000076.02 000241.38
05/02/2020 045.78 000165.04 000126.03 000291.06
06/02/2020 046.29 000164.76 000106.95 000271.71
07/02/2020 047.70 000164.49 000111.10 000275.59
08/02/2020 048.00 000164.25 000093.42 000257.67
09/02/2020 050.96 000164.01 000154.35 000318.36
10/02/2020 053.05 000163.82 000171.56 000335.38
11/02/2020 054.40 000163.67 000163.59 000327.26
