Data       TU     EB        SUP       Qajustada
13/01/2020 000.00 000000.00 000000.00 000000.00
14/01/2020 000.00 000000.00 000000.00 000000.00
15/01/2020 000.00 000000.00 000000.00 000000.00
16/01/2020 000.00 000000.00 000000.00 000000.00
17/01/2020 000.00 000000.00 000000.00 000000.00
18/01/2020 000.00 000000.00 000000.00 000000.00
19/01/2020 000.00 000000.00 000000.00 000000.00
20/01/2020 000.00 000000.00 000000.00 000000.00
21/01/2020 000.00 000000.00 000000.00 000000.00
22/01/2020 000.00 000000.00 000000.00 000000.00
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 050.56 000045.18 000351.74 000396.93
28/01/2020 046.09 000054.38 000319.97 000374.35
29/01/2020 040.48 000060.75 000268.06 000328.82
30/01/2020 038.91 000064.13 000228.01 000292.14
31/01/2020 037.67 000066.77 000193.49 000260.26
01/02/2020 038.17 000068.84 000169.56 000238.40
02/02/2020 035.83 000071.11 000142.28 000213.39
03/02/2020 034.40 000072.41 000119.60 000192.02
04/02/2020 037.07 000073.17 000113.09 000186.26
05/02/2020 039.80 000074.94 000115.00 000189.94
06/02/2020 042.10 000077.88 000123.50 000201.38
07/02/2020 047.29 000081.89 000173.01 000254.91
08/02/2020 050.75 000088.72 000244.22 000332.94
09/02/2020 047.83 000097.66 000251.76 000349.42
10/02/2020 041.81 000104.67 000216.45 000321.12
11/02/2020 036.31 000108.31 000177.15 000285.45
12/02/2020 033.20 000109.46 000144.54 000254.00
13/02/2020 031.86 000109.47 000118.93 000228.40
14/02/2020 039.38 000109.05 000136.22 000245.28
15/02/2020 044.80 000111.50 000166.21 000277.71
16/02/2020 043.70 000116.64 000163.34 000279.98
17/02/2020 038.59 000121.14 000137.88 000259.02
18/02/2020 035.26 000123.13 000114.78 000237.90
19/02/2020 033.01 000123.75 000094.36 000218.11
20/02/2020 032.01 000123.57 000079.13 000202.70
21/02/2020 037.21 000123.07 000088.17 000211.24
22/02/2020 036.69 000124.46 000079.78 000204.24
23/02/2020 037.50 000125.63 000077.02 000202.64
24/02/2020 042.17 000127.11 000100.95 000228.06
25/02/2020 046.07 000130.72 000139.86 000270.59
26/02/2020 047.15 000136.41 000170.45 000306.85
