Data       TU     EB        SUP       Qajustada
13/01/2020 000.00 000000.00 000000.00 000000.00
14/01/2020 000.00 000000.00 000000.00 000000.00
15/01/2020 000.00 000000.00 000000.00 000000.00
16/01/2020 000.00 000000.00 000000.00 000000.00
17/01/2020 000.00 000000.00 000000.00 000000.00
18/01/2020 000.00 000000.00 000000.00 000000.00
19/01/2020 000.00 000000.00 000000.00 000000.00
20/01/2020 000.00 000000.00 000000.00 000000.00
21/01/2020 000.00 000000.00 000000.00 000000.00
22/01/2020 000.00 000000.00 000000.00 000000.00
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 057.64 000167.54 000656.49 000824.03
28/01/2020 050.56 000176.72 000544.56 000721.28
29/01/2020 052.87 000182.34 000579.75 000762.10
30/01/2020 056.41 000189.01 000685.03 000874.04
31/01/2020 058.39 000197.42 000765.54 000962.95
01/02/2020 051.78 000206.84 000638.67 000845.51
02/02/2020 046.57 000212.86 000530.80 000743.66
03/02/2020 044.29 000216.60 000460.48 000677.08
04/02/2020 042.07 000219.45 000396.41 000615.86
05/02/2020 042.35 000221.49 000367.07 000588.56
06/02/2020 045.66 000223.62 000401.27 000624.88
07/02/2020 050.79 000226.94 000512.61 000739.55
08/02/2020 054.66 000232.40 000624.29 000856.70
09/02/2020 054.43 000239.68 000622.93 000862.62
10/02/2020 049.03 000246.81 000522.19 000769.00
11/02/2020 044.74 000251.39 000435.25 000686.64
12/02/2020 041.17 000254.22 000361.48 000615.70
13/02/2020 043.19 000255.77 000363.08 000618.86
14/02/2020 046.55 000258.01 000404.70 000662.72
15/02/2020 047.29 000261.51 000401.34 000662.84
16/02/2020 043.74 000265.28 000337.72 000603.01
17/02/2020 041.65 000267.67 000294.76 000562.42
18/02/2020 040.37 000269.31 000263.37 000532.68
19/02/2020 043.18 000270.52 000293.28 000563.80
20/02/2020 043.54 000272.68 000286.58 000559.26
21/02/2020 041.88 000274.95 000256.94 000531.89
22/02/2020 038.80 000276.63 000213.20 000489.83
23/02/2020 037.91 000277.31 000193.93 000471.24
24/02/2020 039.56 000277.73 000205.84 000483.57
25/02/2020 042.40 000278.64 000242.39 000521.03
26/02/2020 044.59 000280.48 000273.37 000553.86
