                        BATALHA            CORUMBA-3           EMBORCAÇÃO           NOVA PONTE           C.BRANCO-2            ITUMBIARA           C. DOURADA            SÃO SIMÃO            CORUMBA-4              MIRANDA           C.BRANCO-1              CORUMBA           S.DO FACÃO
                            022                  023                  024                  025                  028                  031                  032                  033                  205                  206                  207                  209                  251
                    INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
27/02/2020               169.28                58.85               877.67               668.19                 6.29               494.25               121.03              1686.02               304.24                20.97                 2.62               529.69               105.98
28/02/2020               176.79                58.75               864.46               708.59                 7.53               591.81               122.14              1697.68               292.07                25.10                 3.14               528.78               110.67
29/02/2020               196.46                60.94               932.55               859.20                 8.53               670.28               143.70              1965.87               277.62                28.43                 3.55               548.49               122.98
01/03/2020               229.33                68.14              1021.55               914.70                10.92               858.07               150.13              2182.23               266.94                36.40                 4.55               613.24               143.57
02/03/2020               281.69                77.99              1113.65              1012.76                12.65               994.19               149.70              2335.44               265.27                42.17                 5.27               701.93               176.34
03/03/2020               296.30                78.18              1101.19               945.82                12.64               993.52               140.27              2307.43               266.38                42.14                 5.27               703.65               185.49
04/03/2020               290.15                72.61              1016.66               847.55                11.45               899.94               130.60              2170.88               262.33                38.17                 4.77               653.54               181.64
05/03/2020               277.16                66.11               926.44               758.39                10.27               806.71               121.17              2006.17               252.40                34.22                 4.28               594.98               173.50
06/03/2020               271.16                63.29               842.17               685.31                 9.27               728.57               112.52              1856.99               243.77                30.90                 3.86               569.57               169.75
07/03/2020               261.31                61.24               769.49               629.69                 8.40               659.91               104.65              1728.02               238.97                27.99                 3.50               551.16               163.59
08/03/2020               248.07                58.72               707.31               586.87                 7.66               601.93                98.09              1622.01               234.93                25.53                 3.19               528.49               155.29
09/03/2020               231.32                55.18               655.66               554.50                 7.06               554.82                92.44              1531.29               228.21                23.53                 2.94               496.66               144.81
