Data       TU     EB        SUP       Qajustada
13/01/2020 000.00 000000.00 000000.00 000000.00
14/01/2020 000.00 000000.00 000000.00 000000.00
15/01/2020 000.00 000000.00 000000.00 000000.00
16/01/2020 000.00 000000.00 000000.00 000000.00
17/01/2020 000.00 000000.00 000000.00 000000.00
18/01/2020 000.00 000000.00 000000.00 000000.00
19/01/2020 000.00 000000.00 000000.00 000000.00
20/01/2020 000.00 000000.00 000000.00 000000.00
21/01/2020 000.00 000000.00 000000.00 000000.00
22/01/2020 000.00 000000.00 000000.00 000000.00
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 060.75 000017.99 000038.16 000056.15
28/01/2020 062.64 000018.83 000042.12 000060.95
29/01/2020 063.53 000019.88 000042.58 000062.45
30/01/2020 063.80 000021.01 000041.27 000062.28
31/01/2020 061.58 000022.17 000034.79 000056.96
01/02/2020 059.43 000023.08 000029.25 000052.33
02/02/2020 057.33 000023.75 000024.60 000048.35
03/02/2020 055.54 000024.21 000020.68 000044.90
04/02/2020 057.65 000024.51 000024.93 000049.44
05/02/2020 056.52 000025.00 000021.30 000046.30
06/02/2020 057.54 000025.38 000022.27 000047.65
07/02/2020 057.79 000025.85 000021.47 000047.32
08/02/2020 058.01 000026.34 000020.82 000047.16
09/02/2020 057.67 000026.86 000019.19 000046.05
10/02/2020 057.88 000027.33 000018.84 000046.17
11/02/2020 058.29 000027.83 000019.11 000046.93
12/02/2020 059.13 000028.36 000020.76 000049.12
13/02/2020 059.93 000028.97 000022.46 000051.43
14/02/2020 060.62 000029.65 000024.00 000053.66
15/02/2020 060.66 000030.41 000023.70 000054.10
16/02/2020 060.73 000031.16 000023.53 000054.69
17/02/2020 060.47 000031.92 000022.56 000054.48
18/02/2020 059.88 000032.64 000020.93 000053.57
19/02/2020 059.47 000033.30 000019.71 000053.01
20/02/2020 059.53 000033.91 000019.60 000053.51
21/02/2020 059.68 000034.52 000019.79 000054.31
22/02/2020 059.70 000035.15 000019.68 000054.83
23/02/2020 060.18 000035.77 000020.86 000056.63
24/02/2020 060.70 000036.44 000022.23 000058.67
25/02/2020 061.13 000037.16 000023.41 000060.57
26/02/2020 061.29 000037.92 000023.78 000061.70
