Data       TU     EB        SUP       Qajustada
13/01/2020 000.00 000000.00 000000.00 000000.00
14/01/2020 000.00 000000.00 000000.00 000000.00
15/01/2020 000.00 000000.00 000000.00 000000.00
16/01/2020 000.00 000000.00 000000.00 000000.00
17/01/2020 000.00 000000.00 000000.00 000000.00
18/01/2020 000.00 000000.00 000000.00 000000.00
19/01/2020 000.00 000000.00 000000.00 000000.00
20/01/2020 000.00 000000.00 000000.00 000000.00
21/01/2020 000.00 000000.00 000000.00 000000.00
22/01/2020 000.00 000000.00 000000.00 000000.00
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 068.58 000075.04 000553.56 000628.59
28/01/2020 070.72 000077.65 000568.21 000645.86
29/01/2020 071.20 000080.71 000544.13 000624.84
30/01/2020 069.61 000083.86 000476.29 000560.15
31/01/2020 067.75 000086.63 000410.83 000497.46
01/02/2020 067.16 000088.98 000373.99 000462.97
02/02/2020 068.94 000091.18 000351.98 000443.17
03/02/2020 069.18 000093.75 000313.35 000407.10
04/02/2020 068.08 000096.35 000265.42 000361.77
05/02/2020 068.27 000098.70 000241.08 000339.78
06/02/2020 068.92 000101.07 000229.78 000330.85
07/02/2020 069.74 000103.56 000226.52 000330.08
08/02/2020 070.77 000106.21 000232.08 000338.29
09/02/2020 071.96 000109.08 000245.78 000354.86
10/02/2020 072.37 000112.20 000245.83 000358.03
11/02/2020 072.20 000115.39 000235.99 000351.37
12/02/2020 072.20 000118.52 000230.83 000349.35
13/02/2020 072.45 000121.62 000231.80 000353.42
14/02/2020 072.53 000124.76 000230.29 000355.05
15/02/2020 072.43 000127.90 000225.80 000353.70
16/02/2020 072.01 000130.99 000215.84 000346.83
17/02/2020 070.59 000133.96 000190.99 000324.95
18/02/2020 071.49 000136.58 000205.54 000342.12
19/02/2020 071.43 000139.39 000202.12 000341.50
20/02/2020 071.26 000142.16 000197.15 000339.31
21/02/2020 070.49 000144.87 000182.89 000327.77
22/02/2020 067.20 000147.39 000146.24 000293.63
23/02/2020 064.44 000149.17 000117.12 000266.30
24/02/2020 062.30 000150.39 000094.89 000245.28
25/02/2020 062.90 000151.18 000096.43 000247.61
26/02/2020 063.71 000152.08 000101.47 000253.55
