Data       TU     EB        SUP       Qajustada
13/01/2020 000.00 000000.00 000000.00 000000.00
14/01/2020 000.00 000000.00 000000.00 000000.00
15/01/2020 000.00 000000.00 000000.00 000000.00
16/01/2020 000.00 000000.00 000000.00 000000.00
17/01/2020 000.00 000000.00 000000.00 000000.00
18/01/2020 000.00 000000.00 000000.00 000000.00
19/01/2020 000.00 000000.00 000000.00 000000.00
20/01/2020 000.00 000000.00 000000.00 000000.00
21/01/2020 000.00 000000.00 000000.00 000000.00
22/01/2020 000.00 000000.00 000000.00 000000.00
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 048.90 000054.66 000025.13 000079.78
28/01/2020 046.83 000055.60 000018.59 000074.19
29/01/2020 045.03 000056.24 000013.75 000069.99
30/01/2020 045.09 000056.63 000016.25 000072.87
31/01/2020 045.58 000057.01 000020.24 000077.25
01/02/2020 045.97 000057.45 000022.89 000080.34
02/02/2020 045.86 000057.94 000023.27 000081.21
03/02/2020 044.22 000058.40 000017.21 000075.61
04/02/2020 042.42 000058.64 000012.73 000071.37
05/02/2020 040.73 000058.66 000009.42 000068.08
06/02/2020 039.16 000058.48 000006.97 000065.45
07/02/2020 037.69 000058.14 000005.16 000063.29
08/02/2020 036.31 000057.65 000003.81 000061.47
09/02/2020 035.11 000057.05 000002.82 000059.87
10/02/2020 034.02 000056.35 000002.09 000058.43
11/02/2020 032.98 000055.57 000001.54 000057.11
12/02/2020 032.00 000054.72 000001.14 000055.86
13/02/2020 030.96 000053.81 000000.85 000054.66
14/02/2020 029.97 000052.85 000000.63 000053.47
15/02/2020 030.21 000051.84 000004.73 000056.57
16/02/2020 029.89 000050.87 000004.62 000055.49
17/02/2020 029.61 000049.90 000004.67 000054.57
18/02/2020 030.24 000048.94 000009.13 000058.08
19/02/2020 031.77 000048.03 000016.50 000064.53
20/02/2020 033.98 000047.23 000026.37 000073.61
21/02/2020 035.57 000046.62 000030.76 000077.38
22/02/2020 036.59 000046.16 000031.37 000077.53
23/02/2020 035.29 000045.80 000023.21 000069.01
24/02/2020 034.06 000045.33 000017.17 000062.50
25/02/2020 032.92 000044.76 000012.70 000057.46
26/02/2020 032.51 000044.11 000010.57 000054.68
