Data       TU     EB        SUP       Qajustada
17/01/2020 000.00 000000.00 000000.00 000000.00
18/01/2020 000.00 000000.00 000000.00 000000.00
19/01/2020 000.00 000000.00 000000.00 000000.00
20/01/2020 000.00 000000.00 000000.00 000000.00
21/01/2020 000.00 000000.00 000000.00 000000.00
22/01/2020 000.00 000000.00 000000.00 000000.00
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 000.00 000000.00 000000.00 000000.00
28/01/2020 000.00 000000.00 000000.00 000000.00
29/01/2020 000.00 000000.00 000000.00 000000.00
30/01/2020 000.00 000000.00 000000.00 000000.00
31/01/2020 030.98 000273.67 000000.00 000273.67
01/02/2020 030.41 000273.30 000000.51 000273.81
02/02/2020 030.08 000272.53 000001.50 000274.03
03/02/2020 029.70 000271.54 000001.41 000272.95
04/02/2020 029.41 000270.49 000001.66 000272.15
05/02/2020 030.32 000269.45 000010.54 000279.99
06/02/2020 032.58 000268.64 000032.79 000301.42
07/02/2020 035.97 000269.49 000083.44 000352.93
08/02/2020 038.30 000273.28 000133.72 000407.00
09/02/2020 037.99 000279.37 000145.17 000424.54
10/02/2020 037.02 000285.11 000142.44 000427.55
11/02/2020 037.10 000289.86 000148.46 000438.32
12/02/2020 039.88 000294.66 000212.51 000507.17
13/02/2020 039.53 000302.39 000224.48 000526.87
14/02/2020 036.04 000309.70 000189.99 000499.68
15/02/2020 033.58 000313.40 000156.79 000470.19
16/02/2020 032.18 000314.90 000130.00 000444.89
17/02/2020 033.03 000315.26 000122.05 000437.31
18/02/2020 034.83 000316.29 000131.59 000447.88
19/02/2020 033.11 000318.85 000111.33 000430.19
20/02/2020 031.67 000319.94 000091.45 000411.39
21/02/2020 031.10 000319.90 000078.15 000398.05
22/02/2020 032.98 000319.44 000086.83 000406.27
23/02/2020 034.82 000320.42 000102.96 000423.38
24/02/2020 035.52 000322.95 000110.67 000433.63
25/02/2020 035.65 000326.12 000113.48 000439.60
26/02/2020 034.15 000329.39 000100.11 000429.51
27/02/2020 033.78 000331.31 000093.20 000424.51
28/02/2020 033.96 000332.90 000091.28 000424.19
29/02/2020 034.17 000334.65 000090.82 000425.47
01/03/2020 032.63 000336.57 000076.83 000413.40
