Data       TU     EB        SUP       Qajustada
17/01/2020 000.00 000000.00 000000.00 000000.00
18/01/2020 000.00 000000.00 000000.00 000000.00
19/01/2020 000.00 000000.00 000000.00 000000.00
20/01/2020 000.00 000000.00 000000.00 000000.00
21/01/2020 000.00 000000.00 000000.00 000000.00
22/01/2020 000.00 000000.00 000000.00 000000.00
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 000.00 000000.00 000000.00 000000.00
28/01/2020 000.00 000000.00 000000.00 000000.00
29/01/2020 000.00 000000.00 000000.00 000000.00
30/01/2020 000.00 000000.00 000000.00 000000.00
31/01/2020 052.25 000078.45 000113.69 000192.13
01/02/2020 052.74 000076.87 000105.22 000182.09
02/02/2020 052.94 000075.38 000092.94 000168.33
03/02/2020 056.77 000073.95 000151.03 000224.98
04/02/2020 059.35 000072.97 000170.98 000243.95
05/02/2020 059.82 000072.33 000149.82 000222.15
06/02/2020 057.89 000071.77 000113.54 000185.31
07/02/2020 056.88 000070.98 000087.57 000158.55
08/02/2020 056.12 000070.08 000069.46 000139.54
09/02/2020 055.87 000069.11 000061.70 000130.81
10/02/2020 055.55 000068.14 000054.63 000122.77
11/02/2020 055.08 000067.16 000047.05 000114.21
12/02/2020 053.48 000066.14 000035.66 000101.80
13/02/2020 051.84 000064.98 000027.02 000092.00
14/02/2020 050.24 000063.67 000020.48 000084.15
15/02/2020 048.74 000062.24 000015.52 000077.76
16/02/2020 047.33 000060.81 000011.76 000072.58
17/02/2020 045.99 000059.43 000008.91 000068.34
18/02/2020 045.26 000058.07 000007.82 000065.89
19/02/2020 044.95 000056.74 000010.80 000067.54
20/02/2020 045.03 000055.45 000018.10 000073.55
21/02/2020 044.34 000054.18 000014.97 000069.15
22/02/2020 043.05 000052.94 000011.34 000064.28
23/02/2020 041.76 000051.73 000008.60 000060.33
24/02/2020 040.52 000050.55 000006.51 000057.07
25/02/2020 042.71 000049.40 000037.16 000086.56
26/02/2020 050.63 000048.27 000217.06 000265.33
27/02/2020 056.21 000047.23 000293.33 000340.56
28/02/2020 057.81 000046.79 000257.62 000304.42
29/02/2020 056.46 000046.56 000195.39 000241.95
01/03/2020 055.00 000046.17 000148.08 000194.25
