Data       TU     EB        SUP       Qajustada
17/01/2020 000.00 000000.00 000000.00 000000.00
18/01/2020 000.00 000000.00 000000.00 000000.00
19/01/2020 000.00 000000.00 000000.00 000000.00
20/01/2020 000.00 000000.00 000000.00 000000.00
21/01/2020 000.00 000000.00 000000.00 000000.00
22/01/2020 000.00 000000.00 000000.00 000000.00
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 000.00 000000.00 000000.00 000000.00
28/01/2020 000.00 000000.00 000000.00 000000.00
29/01/2020 000.00 000000.00 000000.00 000000.00
30/01/2020 000.00 000000.00 000000.00 000000.00
31/01/2020 053.77 000232.58 000248.86 000481.44
01/02/2020 049.69 000240.76 000184.22 000424.98
02/02/2020 046.13 000246.49 000136.29 000382.77
03/02/2020 043.35 000250.29 000100.89 000351.18
04/02/2020 041.25 000252.74 000075.59 000328.33
05/02/2020 039.48 000254.26 000056.98 000311.24
06/02/2020 040.74 000255.05 000079.49 000334.54
07/02/2020 046.33 000256.34 000223.36 000479.70
08/02/2020 051.41 000260.16 000361.35 000621.51
09/02/2020 053.02 000266.69 000373.02 000639.71
10/02/2020 050.90 000274.12 000299.23 000573.35
11/02/2020 049.25 000280.23 000244.97 000525.20
12/02/2020 047.50 000285.37 000198.98 000484.35
13/02/2020 048.40 000289.53 000206.76 000496.29
14/02/2020 048.00 000294.14 000188.92 000483.05
15/02/2020 045.47 000298.48 000143.65 000442.13
16/02/2020 047.11 000301.51 000173.80 000475.31
17/02/2020 047.37 000305.34 000172.45 000477.79
18/02/2020 046.56 000309.26 000153.38 000462.64
19/02/2020 044.66 000312.74 000123.46 000436.20
20/02/2020 042.26 000315.26 000091.77 000407.03
21/02/2020 043.36 000316.67 000110.66 000427.34
22/02/2020 043.36 000318.56 000109.12 000427.68
23/02/2020 044.21 000320.43 000122.29 000442.72
24/02/2020 044.88 000322.67 000131.45 000454.13
25/02/2020 048.21 000325.21 000210.73 000535.94
26/02/2020 050.99 000329.40 000275.73 000605.13
27/02/2020 055.43 000335.09 000428.84 000763.93
28/02/2020 057.86 000343.44 000503.06 000846.50
29/02/2020 056.04 000353.32 000424.18 000777.50
01/03/2020 054.60 000361.91 000363.68 000725.59
