Data       TU     EB        SUP       Qajustada
17/01/2020 000.00 000000.00 000000.00 000000.00
18/01/2020 000.00 000000.00 000000.00 000000.00
19/01/2020 000.00 000000.00 000000.00 000000.00
20/01/2020 000.00 000000.00 000000.00 000000.00
21/01/2020 000.00 000000.00 000000.00 000000.00
22/01/2020 000.00 000000.00 000000.00 000000.00
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 000.00 000000.00 000000.00 000000.00
28/01/2020 000.00 000000.00 000000.00 000000.00
29/01/2020 000.00 000000.00 000000.00 000000.00
30/01/2020 000.00 000000.00 000000.00 000000.00
31/01/2020 051.70 000038.26 000051.36 000089.62
01/02/2020 052.77 000038.17 000052.95 000091.12
02/02/2020 056.78 000038.13 000072.46 000110.59
03/02/2020 063.68 000038.30 000131.25 000169.55
04/02/2020 063.02 000038.88 000121.19 000160.07
05/02/2020 061.87 000039.41 000110.99 000150.39
06/02/2020 061.27 000039.86 000102.61 000142.47
07/02/2020 060.36 000040.27 000094.22 000134.48
08/02/2020 060.75 000040.61 000090.53 000131.14
09/02/2020 059.79 000040.98 000083.06 000124.04
10/02/2020 058.78 000041.29 000076.12 000117.41
11/02/2020 057.58 000041.53 000069.65 000111.18
12/02/2020 056.25 000041.70 000063.73 000105.43
13/02/2020 054.84 000041.80 000058.31 000100.11
14/02/2020 053.47 000041.82 000053.35 000095.18
15/02/2020 052.13 000041.78 000048.82 000090.59
16/02/2020 050.83 000041.66 000044.67 000086.33
17/02/2020 049.58 000041.49 000040.87 000082.36
18/02/2020 049.44 000041.27 000038.95 000080.22
19/02/2020 048.59 000041.04 000035.66 000076.70
20/02/2020 049.99 000040.78 000038.82 000079.61
21/02/2020 049.81 000040.58 000036.93 000077.51
22/02/2020 051.14 000040.38 000039.94 000080.32
23/02/2020 050.48 000040.24 000036.80 000077.03
24/02/2020 049.32 000040.07 000033.67 000073.74
25/02/2020 048.18 000039.85 000030.80 000070.65
26/02/2020 052.99 000039.58 000056.12 000095.70
27/02/2020 057.14 000039.54 000076.81 000116.35
28/02/2020 056.88 000039.71 000072.06 000111.77
29/02/2020 055.55 000039.87 000065.93 000105.80
01/03/2020 054.15 000039.95 000060.33 000100.28
