                      JURUMIRIM               PIRAJU            CHAVANTES      SALTO GRANDE CS            CANOAS II             CANOAS I                 MAUA             CAPIVARA            TAQUARUÇU               ROSANA             OURINHOS
                            047                  048                  049                  050                  051                  052                  057                  061                  062                  063                  249
                          TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
02/03/2020               192.52                 3.52                73.03               114.55                 8.98                19.14                95.16               214.11                54.65               128.14                 4.56
03/03/2020               180.55                 3.15                65.27               104.10                 8.16                17.40                90.77               193.95                49.98               117.17                 4.15
04/03/2020               173.25                 2.89                59.92                95.62                 7.50                15.98                87.17               179.74                47.68               111.78                 3.81
05/03/2020               169.23                 2.72                56.40                88.71                 6.96                14.82                83.06               170.32                46.60               109.24                 3.53
06/03/2020               168.39                 2.59                53.76                83.04                 6.51                13.88                79.25               163.26                46.05               107.95                 3.31
07/03/2020               167.35                 2.50                51.89                78.39                 6.15                13.10                75.70               157.26                45.79               107.35                 3.12
08/03/2020               161.20                 2.44                50.54                74.55                 5.85                12.46                72.40               152.80                45.67               107.08                 2.97
09/03/2020               156.37                 2.39                49.58                71.34                 5.59                11.92                69.31               149.42                45.62               106.96                 2.84
10/03/2020               152.51                 2.36                48.85                68.67                 5.38                11.48                66.43               146.79                45.59               106.90                 2.74
11/03/2020               149.36                 2.33                48.30                66.42                 5.21                11.10                63.74               144.69                45.58               106.85                 2.65
12/03/2020               146.74                 2.31                47.87                64.51                 5.06                10.78                61.21               142.95                45.56               106.80                 2.57
13/03/2020               144.51                 2.29                47.51                62.88                 4.93                10.51                58.84               141.46                45.53               106.75                 2.51
