                   GUARAPIRANGA        BILL E PEDRAS           PONTE NOVA    E. S. + PINHEIROS            B. BONITA               BARIRI             IBITINGA            PROMISSÃO       N. AVANHANDAVA
                            117                  119                  160                  161                  237                  238                  239                  240                  242
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
02/03/2020                24.49                37.34                14.90               127.33               608.58                87.21               167.79               123.17                48.62
03/03/2020                42.28                64.48                25.72               219.85               506.26                79.08               152.14               121.16                47.82
04/03/2020                33.21                50.64                20.20               172.68               455.02                76.82               147.80               119.59                47.20
05/03/2020                24.75                37.75                15.06               128.71               406.92                75.94               146.10               118.35                46.71
06/03/2020                19.40                29.59                11.80               100.90               362.71                75.37               145.00               117.35                46.32
07/03/2020                15.99                24.39                 9.73                83.17               328.89                74.90               144.10               116.54                46.00
08/03/2020                13.85                21.13                 8.43                72.03               304.64                74.45               143.25               115.85                45.73
09/03/2020                12.51                19.08                 7.61                65.07               287.05                74.02               142.41               115.28                45.50
10/03/2020                11.73                17.88                 7.13                60.97               274.08                73.59               141.59               114.80                45.31
11/03/2020                11.15                17.01                 6.79                58.00               264.33                73.16               140.77               114.33                45.12
12/03/2020                10.77                16.43                 6.55                56.03               256.83                72.74               139.94               113.90                44.95
13/03/2020                10.51                16.03                 6.40                54.67               250.90                72.32               139.13               113.49                44.80
