Data       TU     EB        SUP       Qajustada
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 000.00 000000.00 000000.00 000000.00
28/01/2020 000.00 000000.00 000000.00 000000.00
29/01/2020 000.00 000000.00 000000.00 000000.00
30/01/2020 000.00 000000.00 000000.00 000000.00
31/01/2020 000.00 000000.00 000000.00 000000.00
01/02/2020 000.00 000000.00 000000.00 000000.00
02/02/2020 000.00 000000.00 000000.00 000000.00
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 058.95 000019.79 000045.38 000065.16
07/02/2020 057.62 000019.68 000037.23 000056.92
08/02/2020 056.90 000019.56 000031.59 000051.15
09/02/2020 057.47 000019.43 000030.96 000050.39
10/02/2020 060.40 000019.30 000041.33 000060.63
11/02/2020 061.00 000019.23 000039.71 000058.94
12/02/2020 058.77 000019.17 000032.39 000051.56
13/02/2020 056.60 000019.07 000026.42 000045.49
14/02/2020 054.54 000018.94 000021.54 000040.48
15/02/2020 052.59 000018.78 000017.57 000036.35
16/02/2020 050.73 000018.59 000014.33 000032.92
17/02/2020 048.98 000018.38 000011.69 000030.06
18/02/2020 047.32 000018.16 000009.53 000027.69
19/02/2020 045.84 000017.94 000007.77 000025.72
20/02/2020 044.35 000017.73 000006.34 000024.07
21/02/2020 042.80 000017.52 000005.17 000022.69
22/02/2020 041.31 000017.31 000004.22 000021.53
23/02/2020 039.88 000017.10 000003.44 000020.54
24/02/2020 038.97 000016.90 000002.88 000019.78
25/02/2020 042.47 000016.70 000014.96 000031.66
26/02/2020 052.86 000016.50 000080.74 000097.24
27/02/2020 062.84 000016.34 000149.32 000165.66
28/02/2020 060.53 000016.35 000121.78 000138.13
29/02/2020 058.28 000016.32 000099.32 000115.64
01/03/2020 056.14 000016.25 000081.00 000097.25
02/03/2020 054.35 000016.14 000066.06 000082.20
03/03/2020 052.74 000016.01 000053.88 000069.89
04/03/2020 051.24 000015.85 000043.94 000059.80
05/03/2020 049.93 000015.68 000035.84 000051.52
06/03/2020 048.40 000015.49 000029.23 000044.72
07/03/2020 047.50 000015.31 000023.93 000039.24
