Data       TU     EB        SUP       Qajustada
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 000.00 000000.00 000000.00 000000.00
28/01/2020 000.00 000000.00 000000.00 000000.00
29/01/2020 000.00 000000.00 000000.00 000000.00
30/01/2020 000.00 000000.00 000000.00 000000.00
31/01/2020 000.00 000000.00 000000.00 000000.00
01/02/2020 000.00 000000.00 000000.00 000000.00
02/02/2020 000.00 000000.00 000000.00 000000.00
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 051.98 000070.18 000074.59 000144.77
07/02/2020 050.88 000069.94 000066.95 000136.89
08/02/2020 049.70 000069.67 000059.91 000129.58
09/02/2020 050.00 000069.35 000059.80 000129.16
10/02/2020 055.49 000069.05 000105.96 000175.01
11/02/2020 057.70 000068.97 000115.26 000184.24
12/02/2020 058.34 000068.98 000112.91 000181.90
13/02/2020 058.00 000069.02 000105.60 000174.63
14/02/2020 057.52 000069.05 000098.11 000167.16
15/02/2020 055.25 000069.05 000087.41 000156.46
16/02/2020 053.07 000068.96 000077.87 000146.83
17/02/2020 050.99 000068.78 000069.37 000138.15
18/02/2020 049.01 000068.52 000061.81 000130.33
19/02/2020 047.49 000068.20 000055.06 000123.26
20/02/2020 048.15 000067.82 000056.71 000124.53
21/02/2020 046.71 000067.48 000050.52 000118.00
22/02/2020 046.47 000067.09 000048.57 000115.66
23/02/2020 045.23 000066.70 000043.30 000110.00
24/02/2020 043.87 000066.27 000038.58 000104.85
25/02/2020 044.18 000065.81 000039.97 000105.78
26/02/2020 053.85 000065.36 000149.17 000214.53
27/02/2020 062.49 000065.25 000254.47 000319.72
28/02/2020 068.32 000065.53 000312.60 000378.13
29/02/2020 069.87 000066.10 000303.30 000369.41
01/03/2020 070.19 000066.75 000283.89 000350.64
02/03/2020 067.98 000067.42 000252.92 000320.33
03/03/2020 065.74 000067.95 000225.32 000293.27
04/03/2020 063.51 000068.36 000200.74 000269.10
05/03/2020 061.36 000068.65 000178.84 000247.49
06/03/2020 059.30 000068.83 000159.33 000228.16
07/03/2020 057.33 000068.91 000141.95 000210.86
