Data       TU     EB        SUP       Qajustada
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 000.00 000000.00 000000.00 000000.00
28/01/2020 000.00 000000.00 000000.00 000000.00
29/01/2020 000.00 000000.00 000000.00 000000.00
30/01/2020 000.00 000000.00 000000.00 000000.00
31/01/2020 000.00 000000.00 000000.00 000000.00
01/02/2020 000.00 000000.00 000000.00 000000.00
02/02/2020 000.00 000000.00 000000.00 000000.00
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 047.34 000135.07 000272.46 000407.53
07/02/2020 045.82 000135.17 000189.18 000324.35
08/02/2020 044.95 000134.99 000135.52 000270.50
09/02/2020 044.88 000134.66 000115.47 000250.12
10/02/2020 045.86 000134.32 000121.70 000256.02
11/02/2020 046.43 000134.15 000119.05 000253.20
12/02/2020 046.49 000134.08 000108.34 000242.42
13/02/2020 046.56 000134.03 000101.02 000235.05
14/02/2020 044.84 000133.99 000070.14 000204.13
15/02/2020 043.21 000133.64 000048.70 000182.35
16/02/2020 041.71 000133.03 000033.82 000166.85
17/02/2020 040.33 000132.20 000023.48 000155.67
18/02/2020 039.14 000131.33 000016.30 000147.64
19/02/2020 038.71 000130.48 000017.09 000147.57
20/02/2020 039.54 000129.63 000042.90 000172.52
21/02/2020 042.15 000128.78 000104.52 000233.30
22/02/2020 044.59 000128.04 000146.73 000274.77
23/02/2020 046.92 000127.69 000179.80 000307.49
24/02/2020 046.71 000127.76 000146.48 000274.24
25/02/2020 045.41 000127.79 000102.22 000230.00
26/02/2020 045.54 000127.58 000096.27 000223.85
27/02/2020 047.75 000127.40 000144.00 000271.40
28/02/2020 049.44 000127.63 000168.14 000295.77
29/02/2020 049.87 000128.18 000155.64 000283.82
01/03/2020 047.99 000128.82 000108.06 000236.89
02/03/2020 046.23 000129.08 000075.03 000204.12
03/03/2020 044.68 000129.02 000052.10 000181.11
04/03/2020 043.26 000128.68 000036.17 000164.85
05/03/2020 041.95 000128.11 000025.12 000153.22
06/03/2020 040.77 000127.34 000017.44 000144.78
07/03/2020 039.54 000126.51 000012.11 000138.62
