Data       TU     EB        SUP       Qajustada
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 000.00 000000.00 000000.00 000000.00
28/01/2020 000.00 000000.00 000000.00 000000.00
29/01/2020 000.00 000000.00 000000.00 000000.00
30/01/2020 000.00 000000.00 000000.00 000000.00
31/01/2020 000.00 000000.00 000000.00 000000.00
01/02/2020 000.00 000000.00 000000.00 000000.00
02/02/2020 000.00 000000.00 000000.00 000000.00
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 046.63 000231.64 001470.73 001702.37
07/02/2020 045.96 000229.97 001298.38 001528.35
08/02/2020 050.24 000228.32 001589.19 001817.50
09/02/2020 055.60 000228.16 002060.55 002288.71
10/02/2020 057.22 000264.40 002438.97 002703.37
11/02/2020 053.77 000312.80 002270.12 002582.92
12/02/2020 050.05 000335.24 001925.80 002261.04
13/02/2020 048.90 000333.12 001657.26 001990.38
14/02/2020 048.71 000330.72 001506.67 001837.40
15/02/2020 053.42 000328.34 001853.73 002182.07
16/02/2020 054.00 000348.22 001916.53 002264.75
17/02/2020 051.52 000372.00 001727.31 002099.31
18/02/2020 050.79 000378.87 001599.23 001978.09
19/02/2020 050.31 000381.01 001477.29 001858.29
20/02/2020 049.18 000380.19 001290.11 001670.30
21/02/2020 046.98 000377.45 001085.53 001462.99
22/02/2020 045.01 000374.74 000914.82 001289.55
23/02/2020 043.42 000372.04 000777.73 001149.77
24/02/2020 041.64 000369.36 000656.54 001025.91
25/02/2020 041.21 000366.71 000622.49 000989.19
26/02/2020 043.01 000364.07 000750.11 001114.18
27/02/2020 048.41 000361.45 001232.84 001594.29
28/02/2020 051.50 000358.85 001422.72 001781.57
29/02/2020 050.83 000365.64 001346.85 001712.49
01/03/2020 052.48 000368.18 001435.30 001803.48
02/03/2020 059.14 000381.37 002391.46 002772.83
03/03/2020 059.45 000444.43 002920.78 003365.21
04/03/2020 060.23 000509.65 003527.08 004036.73
05/03/2020 057.33 000581.04 003468.04 004049.08
06/03/2020 057.14 000628.06 003481.44 004109.50
07/03/2020 058.81 000673.19 003788.89 004462.08
