Data       TU     EB        SUP       Qajustada
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 000.00 000000.00 000000.00 000000.00
28/01/2020 000.00 000000.00 000000.00 000000.00
29/01/2020 000.00 000000.00 000000.00 000000.00
30/01/2020 000.00 000000.00 000000.00 000000.00
31/01/2020 000.00 000000.00 000000.00 000000.00
01/02/2020 000.00 000000.00 000000.00 000000.00
02/02/2020 000.00 000000.00 000000.00 000000.00
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 038.58 000039.25 000224.13 000263.38
07/02/2020 048.17 000039.55 000223.83 000263.38
08/02/2020 046.41 000040.84 000183.30 000224.15
09/02/2020 049.95 000041.92 000196.52 000238.43
10/02/2020 070.17 000043.41 001100.80 001144.21
11/02/2020 051.95 000048.20 000872.86 000921.06
12/02/2020 037.97 000049.91 000532.72 000582.62
13/02/2020 032.80 000050.08 000324.90 000374.98
14/02/2020 030.25 000049.86 000198.52 000248.38
15/02/2020 028.58 000049.50 000121.33 000170.83
16/02/2020 026.18 000049.12 000073.95 000123.07
17/02/2020 031.90 000048.75 000069.06 000117.81
18/02/2020 042.52 000048.49 000102.92 000151.41
19/02/2020 057.38 000049.09 000286.35 000335.44
20/02/2020 049.58 000051.57 000247.20 000298.78
21/02/2020 049.93 000052.94 000230.03 000282.97
22/02/2020 037.92 000054.35 000141.65 000196.00
23/02/2020 031.96 000054.48 000086.34 000140.82
24/02/2020 028.87 000054.19 000052.62 000106.81
25/02/2020 055.00 000053.77 000298.03 000351.80
26/02/2020 059.71 000055.86 000484.53 000540.39
27/02/2020 055.10 000058.66 000478.22 000536.88
28/02/2020 037.40 000060.73 000291.48 000352.21
29/02/2020 049.31 000060.77 000282.80 000343.57
01/03/2020 038.90 000062.04 000177.53 000239.57
02/03/2020 040.99 000062.20 000131.93 000194.13
03/03/2020 056.85 000062.55 000273.05 000335.60
04/03/2020 037.62 000064.85 000166.43 000231.27
05/03/2020 031.97 000064.87 000101.44 000166.31
06/03/2020 028.99 000064.50 000061.83 000126.32
07/03/2020 027.25 000064.01 000037.68 000101.69
