Data       TU     EB        SUP       Qajustada
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 000.00 000000.00 000000.00 000000.00
28/01/2020 000.00 000000.00 000000.00 000000.00
29/01/2020 000.00 000000.00 000000.00 000000.00
30/01/2020 000.00 000000.00 000000.00 000000.00
31/01/2020 000.00 000000.00 000000.00 000000.00
01/02/2020 000.00 000000.00 000000.00 000000.00
02/02/2020 000.00 000000.00 000000.00 000000.00
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 058.45 000035.20 000041.11 000076.31
07/02/2020 059.06 000034.54 000041.07 000075.61
08/02/2020 059.93 000033.94 000042.86 000076.80
09/02/2020 061.02 000033.42 000046.19 000079.61
10/02/2020 062.62 000032.99 000053.86 000086.86
11/02/2020 064.59 000032.71 000065.11 000097.82
12/02/2020 067.29 000032.61 000085.95 000118.56
13/02/2020 066.72 000032.77 000073.90 000106.66
14/02/2020 066.84 000032.86 000067.84 000100.70
15/02/2020 066.32 000032.97 000058.85 000091.82
16/02/2020 064.77 000033.02 000049.48 000082.51
17/02/2020 063.32 000032.93 000041.61 000074.54
18/02/2020 062.15 000032.71 000034.99 000067.70
19/02/2020 061.00 000032.40 000029.42 000061.82
20/02/2020 059.84 000031.99 000024.74 000056.74
21/02/2020 058.66 000031.51 000020.81 000052.31
22/02/2020 057.47 000030.94 000017.50 000048.43
23/02/2020 056.28 000030.29 000014.71 000045.01
24/02/2020 055.15 000029.66 000012.37 000042.04
25/02/2020 054.25 000029.05 000010.41 000039.46
26/02/2020 059.02 000028.44 000059.87 000088.31
27/02/2020 064.74 000027.97 000129.78 000157.74
28/02/2020 067.49 000027.98 000141.31 000169.29
29/02/2020 066.45 000028.25 000118.99 000147.24
01/03/2020 065.27 000028.41 000100.07 000128.48
02/03/2020 064.39 000028.46 000084.17 000112.64
03/03/2020 063.57 000028.43 000070.83 000099.26
04/03/2020 062.72 000028.33 000059.57 000087.90
05/03/2020 062.09 000028.15 000050.33 000078.49
06/03/2020 061.40 000027.93 000042.44 000070.37
07/03/2020 060.25 000027.65 000035.68 000063.34
