Data       TU     EB        SUP       Qajustada
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 000.00 000000.00 000000.00 000000.00
28/01/2020 000.00 000000.00 000000.00 000000.00
29/01/2020 000.00 000000.00 000000.00 000000.00
30/01/2020 000.00 000000.00 000000.00 000000.00
31/01/2020 000.00 000000.00 000000.00 000000.00
01/02/2020 000.00 000000.00 000000.00 000000.00
02/02/2020 000.00 000000.00 000000.00 000000.00
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 066.21 000014.78 000013.08 000027.86
07/02/2020 064.95 000014.44 000009.68 000024.12
08/02/2020 063.80 000014.11 000007.16 000021.27
09/02/2020 062.81 000013.79 000005.30 000019.09
10/02/2020 062.04 000013.47 000004.04 000017.52
11/02/2020 060.89 000013.17 000002.99 000016.16
12/02/2020 059.67 000012.87 000002.21 000015.08
13/02/2020 058.47 000012.57 000001.64 000014.21
14/02/2020 057.28 000012.28 000001.21 000013.50
15/02/2020 056.16 000012.00 000000.90 000012.90
16/02/2020 056.77 000011.73 000003.78 000015.51
17/02/2020 059.27 000011.46 000013.99 000025.45
18/02/2020 059.53 000011.20 000012.72 000023.92
19/02/2020 059.64 000010.94 000011.45 000022.39
20/02/2020 059.31 000010.69 000009.23 000019.93
21/02/2020 058.16 000010.45 000006.83 000017.28
22/02/2020 056.98 000010.21 000005.05 000015.27
23/02/2020 055.82 000009.98 000003.74 000013.72
24/02/2020 054.70 000009.75 000002.77 000012.52
25/02/2020 056.73 000009.53 000010.27 000019.80
26/02/2020 062.02 000009.31 000041.30 000050.61
27/02/2020 064.17 000009.10 000041.30 000050.40
28/02/2020 064.42 000008.89 000033.24 000042.13
29/02/2020 063.47 000008.69 000024.61 000033.30
01/03/2020 062.50 000008.49 000018.22 000026.71
02/03/2020 061.42 000008.29 000013.48 000021.77
03/03/2020 060.35 000008.10 000009.97 000018.08
04/03/2020 059.30 000007.92 000007.38 000015.30
05/03/2020 058.27 000007.74 000005.46 000013.20
06/03/2020 057.26 000007.56 000004.04 000011.60
07/03/2020 056.33 000007.39 000002.99 000010.38
