Data       TU     EB        SUP       Qajustada
23/01/2020 000.00 000000.00 000000.00 000000.00
24/01/2020 000.00 000000.00 000000.00 000000.00
25/01/2020 000.00 000000.00 000000.00 000000.00
26/01/2020 000.00 000000.00 000000.00 000000.00
27/01/2020 000.00 000000.00 000000.00 000000.00
28/01/2020 000.00 000000.00 000000.00 000000.00
29/01/2020 000.00 000000.00 000000.00 000000.00
30/01/2020 000.00 000000.00 000000.00 000000.00
31/01/2020 000.00 000000.00 000000.00 000000.00
01/02/2020 000.00 000000.00 000000.00 000000.00
02/02/2020 000.00 000000.00 000000.00 000000.00
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 072.55 000022.00 000025.69 000047.69
07/02/2020 071.09 000022.02 000021.87 000043.88
08/02/2020 069.66 000021.99 000018.61 000040.60
09/02/2020 068.42 000021.92 000015.84 000037.76
10/02/2020 067.51 000021.80 000013.51 000035.32
11/02/2020 067.67 000021.67 000012.61 000034.28
12/02/2020 066.35 000021.54 000010.74 000032.27
13/02/2020 065.08 000021.37 000009.14 000030.51
14/02/2020 063.84 000021.17 000007.78 000028.95
15/02/2020 062.66 000020.94 000006.62 000027.56
16/02/2020 061.58 000020.68 000005.63 000026.31
17/02/2020 060.77 000020.40 000004.81 000025.20
18/02/2020 060.42 000020.10 000004.34 000024.44
19/02/2020 059.79 000019.80 000003.75 000023.55
20/02/2020 059.06 000019.49 000003.21 000022.70
21/02/2020 058.10 000019.17 000002.73 000021.90
22/02/2020 057.12 000018.84 000002.32 000021.16
23/02/2020 056.14 000018.49 000001.98 000020.47
24/02/2020 055.17 000018.12 000001.68 000019.81
25/02/2020 054.87 000017.75 000001.62 000019.37
26/02/2020 061.44 000017.37 000022.02 000039.39
27/02/2020 069.40 000017.16 000055.85 000073.01
28/02/2020 068.40 000017.19 000047.55 000064.74
29/02/2020 067.33 000017.19 000040.47 000057.66
01/03/2020 066.30 000017.15 000034.45 000051.59
02/03/2020 065.37 000017.08 000029.32 000046.40
03/03/2020 064.89 000016.99 000025.09 000042.07
04/03/2020 065.28 000016.88 000022.34 000039.22
05/03/2020 064.61 000016.79 000019.05 000035.84
06/03/2020 063.60 000016.68 000016.21 000032.89
07/03/2020 062.57 000016.54 000013.80 000030.34
