Data       TU     EB        SUP       Qajustada
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 041.02 000204.16 000204.34 000408.50
21/02/2020 043.00 000204.77 000207.00 000411.76
22/02/2020 045.24 000205.75 000215.88 000421.63
23/02/2020 044.93 000207.19 000203.06 000410.24
24/02/2020 046.60 000208.55 000210.07 000418.63
25/02/2020 047.83 000210.27 000214.97 000425.24
26/02/2020 048.79 000212.27 000218.80 000431.06
27/02/2020 049.10 000214.48 000217.19 000431.67
28/02/2020 053.10 000216.75 000273.69 000490.44
29/02/2020 054.29 000220.03 000289.49 000509.52
01/03/2020 053.76 000223.62 000282.84 000506.46
02/03/2020 052.56 000227.05 000265.01 000492.05
03/03/2020 049.82 000230.13 000236.24 000466.38
04/03/2020 046.16 000232.50 000205.66 000438.17
05/03/2020 043.07 000234.01 000179.04 000413.05
06/03/2020 040.43 000234.87 000155.86 000390.73
07/03/2020 038.13 000235.22 000135.69 000370.91
08/03/2020 036.15 000235.18 000118.12 000353.30
09/03/2020 034.44 000234.83 000102.83 000337.66
10/03/2020 032.93 000234.23 000089.52 000323.75
11/03/2020 031.62 000233.44 000077.93 000311.37
12/03/2020 030.72 000232.49 000067.87 000300.36
13/03/2020 029.98 000231.44 000059.19 000290.63
14/03/2020 029.67 000230.32 000053.15 000283.48
15/03/2020 028.91 000229.21 000046.28 000275.49
16/03/2020 028.16 000228.10 000040.30 000268.40
17/03/2020 027.48 000227.00 000035.12 000262.12
18/03/2020 026.75 000225.90 000030.57 000256.48
19/03/2020 026.08 000224.81 000026.63 000251.44
20/03/2020 025.99 000223.72 000026.52 000250.24
21/03/2020 028.90 000222.64 000042.60 000265.24
