Data       TU     EB        SUP       Qajustada
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 047.95 000075.89 000190.00 000265.89
21/02/2020 053.69 000076.61 000203.29 000279.90
22/02/2020 053.67 000078.60 000201.33 000279.93
23/02/2020 051.22 000080.58 000184.86 000265.43
24/02/2020 050.49 000081.97 000170.90 000252.87
25/02/2020 051.09 000083.19 000163.40 000246.59
26/02/2020 048.61 000084.55 000145.51 000230.05
27/02/2020 050.94 000085.36 000144.80 000230.16
28/02/2020 057.58 000086.66 000197.22 000283.89
29/02/2020 056.56 000089.62 000215.86 000305.48
01/03/2020 052.90 000092.28 000202.60 000294.89
02/03/2020 052.64 000094.01 000192.63 000286.64
03/03/2020 046.37 000095.67 000162.55 000258.22
04/03/2020 043.80 000095.98 000137.26 000233.24
05/03/2020 041.41 000095.84 000115.42 000211.25
06/03/2020 039.92 000095.39 000097.06 000192.45
07/03/2020 038.51 000094.95 000081.61 000176.57
08/03/2020 036.79 000094.52 000068.63 000163.14
09/03/2020 035.84 000094.08 000057.71 000151.79
10/03/2020 035.19 000093.65 000048.69 000142.33
11/03/2020 034.63 000093.22 000041.19 000134.41
12/03/2020 033.81 000092.79 000034.66 000127.44
13/03/2020 032.37 000092.36 000029.14 000121.50
14/03/2020 030.98 000091.93 000024.51 000116.44
15/03/2020 029.62 000091.51 000020.61 000112.11
16/03/2020 031.78 000091.09 000021.97 000113.06
17/03/2020 035.98 000090.67 000028.47 000119.13
18/03/2020 045.42 000090.25 000060.50 000150.75
19/03/2020 049.35 000090.41 000069.43 000159.84
20/03/2020 052.08 000091.35 000083.75 000175.10
21/03/2020 051.96 000092.89 000090.11 000183.00
