Data       TU     EB        SUP       Qajustada
01/02/2020 000.00 000000.00 000000.00 000000.00
02/02/2020 000.00 000000.00 000000.00 000000.00
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 025.17 000573.42 000028.92 000602.34
21/02/2020 026.15 000568.08 000050.65 000618.72
22/02/2020 025.92 000562.78 000042.68 000605.46
23/02/2020 025.42 000557.53 000033.32 000590.86
24/02/2020 024.90 000552.34 000026.01 000578.35
25/02/2020 024.61 000547.19 000021.86 000569.04
26/02/2020 030.28 000542.09 000227.73 000769.81
27/02/2020 031.61 000537.93 000218.42 000756.35
28/02/2020 030.89 000538.41 000175.79 000714.20
29/02/2020 030.26 000536.36 000138.98 000675.34
01/03/2020 029.88 000532.20 000111.26 000643.46
02/03/2020 029.41 000527.24 000086.88 000614.12
03/03/2020 028.91 000522.33 000067.83 000590.15
04/03/2020 028.43 000517.46 000052.95 000570.41
05/03/2020 027.85 000512.63 000041.34 000553.97
06/03/2020 027.27 000507.85 000032.27 000540.13
07/03/2020 026.70 000503.12 000025.20 000528.31
08/03/2020 026.48 000498.43 000022.10 000520.53
09/03/2020 026.25 000493.78 000019.21 000512.99
10/03/2020 025.73 000489.18 000015.00 000504.17
11/03/2020 025.22 000484.62 000011.71 000496.32
12/03/2020 024.71 000480.10 000009.14 000489.24
13/03/2020 024.19 000475.62 000007.14 000482.76
14/03/2020 023.71 000471.19 000005.57 000476.76
15/03/2020 023.22 000466.79 000004.35 000471.14
16/03/2020 022.73 000462.44 000003.40 000465.84
17/03/2020 022.32 000458.13 000002.65 000460.78
18/03/2020 022.00 000453.86 000002.16 000456.02
19/03/2020 025.67 000449.63 000099.95 000549.58
20/03/2020 032.02 000445.44 000321.87 000767.30
21/03/2020 033.44 000448.25 000305.40 000753.65
