Data       TU     EB        SUP       Qajustada
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 045.06 000396.29 000165.79 000562.09
21/02/2020 042.75 000395.36 000136.86 000532.22
22/02/2020 041.58 000392.63 000113.28 000505.91
23/02/2020 040.96 000389.81 000096.19 000485.99
24/02/2020 047.28 000387.00 000168.72 000555.72
25/02/2020 053.79 000388.05 000300.19 000688.25
26/02/2020 056.82 000395.69 000434.56 000830.25
27/02/2020 055.87 000406.84 000485.75 000892.59
28/02/2020 052.18 000416.76 000448.25 000865.00
29/02/2020 049.44 000422.42 000397.18 000819.60
01/03/2020 050.80 000425.24 000392.54 000817.78
02/03/2020 054.37 000429.39 000454.73 000884.12
03/03/2020 056.79 000437.40 000547.05 000984.45
04/03/2020 057.51 000448.22 000626.96 001075.18
05/03/2020 051.65 000459.85 000546.14 001005.98
06/03/2020 052.34 000464.64 000524.03 000988.66
07/03/2020 053.10 000470.13 000516.42 000986.55
08/03/2020 049.63 000476.41 000449.01 000925.42
09/03/2020 045.88 000479.02 000373.30 000852.32
10/03/2020 043.56 000478.18 000308.65 000786.83
11/03/2020 041.91 000475.46 000254.60 000730.07
12/03/2020 040.33 000472.04 000210.01 000682.06
13/03/2020 038.82 000468.65 000173.23 000641.88
14/03/2020 037.34 000465.28 000142.89 000608.17
15/03/2020 036.65 000461.93 000119.05 000580.98
16/03/2020 035.77 000458.60 000098.52 000557.13
17/03/2020 034.63 000455.31 000081.27 000536.57
18/03/2020 033.51 000452.03 000067.03 000519.06
19/03/2020 032.54 000448.78 000055.31 000504.09
20/03/2020 034.53 000445.55 000065.20 000510.75
21/03/2020 037.20 000442.34 000080.16 000522.50
