Data       TU     EB        SUP       Qajustada
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 044.76 000170.01 000000.00 000170.01
21/02/2020 044.17 000170.08 000001.51 000171.59
22/02/2020 044.25 000170.12 000012.92 000183.04
23/02/2020 043.90 000170.17 000012.14 000182.30
24/02/2020 043.18 000170.19 000006.21 000176.41
25/02/2020 042.48 000170.19 000003.22 000173.41
26/02/2020 041.97 000170.15 000002.94 000173.09
27/02/2020 044.14 000170.09 000069.09 000239.18
28/02/2020 047.43 000170.13 000162.43 000332.56
29/02/2020 048.63 000170.33 000125.00 000295.33
01/03/2020 047.93 000170.60 000064.45 000235.05
02/03/2020 047.14 000170.83 000032.76 000203.59
03/03/2020 046.38 000171.02 000016.96 000187.98
04/03/2020 046.90 000171.16 000030.28 000201.45
05/03/2020 047.23 000171.34 000033.52 000204.86
06/03/2020 046.51 000171.53 000017.70 000189.23
07/03/2020 045.78 000171.68 000009.37 000181.05
08/03/2020 044.81 000171.80 000004.68 000176.48
09/03/2020 043.91 000171.86 000002.34 000174.21
10/03/2020 043.04 000171.89 000001.17 000173.06
11/03/2020 042.18 000171.87 000000.59 000172.45
12/03/2020 041.35 000171.81 000000.29 000172.11
13/03/2020 040.55 000171.72 000000.15 000171.87
14/03/2020 039.78 000171.59 000000.07 000171.67
15/03/2020 039.04 000171.44 000000.04 000171.47
16/03/2020 038.34 000171.25 000000.02 000171.27
17/03/2020 037.74 000171.04 000000.01 000171.05
18/03/2020 037.31 000170.80 000000.44 000171.24
19/03/2020 037.35 000170.55 000007.56 000178.11
20/03/2020 037.58 000170.31 000013.55 000183.85
21/03/2020 038.27 000170.07 000024.20 000194.27
