Data       TU     EB        SUP       Qajustada
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 030.87 000786.44 000494.03 001280.48
21/02/2020 030.26 000778.10 000364.47 001142.57
22/02/2020 029.73 000769.85 000276.62 001046.46
23/02/2020 031.97 000761.68 000336.94 001098.63
24/02/2020 032.36 000755.93 000319.40 001075.33
25/02/2020 036.74 000751.28 000528.30 001279.57
26/02/2020 034.90 000760.15 000445.81 001205.96
27/02/2020 035.75 000762.89 000466.61 001229.50
28/02/2020 033.52 000768.35 000353.40 001121.75
29/02/2020 037.46 000766.83 000556.07 001322.90
01/03/2020 039.41 000778.07 000689.34 001467.41
02/03/2020 038.26 000796.42 000643.80 001440.22
03/03/2020 038.13 000810.23 000634.81 001445.04
04/03/2020 040.54 000823.40 000802.43 001625.83
05/03/2020 041.02 000845.71 000872.72 001718.43
06/03/2020 043.95 000869.76 001185.73 002055.49
07/03/2020 043.99 000906.32 001295.99 002202.31
08/03/2020 042.21 000942.69 001209.26 002151.95
09/03/2020 040.00 000970.73 001040.93 002011.65
10/03/2020 035.53 000989.33 000748.41 001737.75
11/03/2020 037.86 000991.66 000778.68 001770.35
12/03/2020 034.91 001001.93 000585.40 001587.32
13/03/2020 033.79 001002.13 000480.42 001482.55
14/03/2020 032.45 000998.93 000367.49 001366.42
15/03/2020 031.32 000991.97 000272.31 001264.28
16/03/2020 030.21 000982.07 000194.47 001176.54
17/03/2020 029.02 000971.65 000137.53 001109.19
18/03/2020 027.87 000961.34 000097.27 001058.61
19/03/2020 026.86 000951.15 000069.27 001020.42
20/03/2020 029.93 000941.06 000220.21 001161.27
21/03/2020 036.05 000931.08 000540.34 001471.41
