Data       TU     EB        SUP       Qajustada
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 036.96 000017.45 000015.87 000033.32
21/02/2020 035.64 000017.14 000012.03 000029.17
22/02/2020 034.31 000016.77 000009.12 000025.89
23/02/2020 033.02 000016.37 000006.91 000023.27
24/02/2020 031.84 000015.92 000005.24 000021.15
25/02/2020 032.56 000015.44 000011.72 000027.16
26/02/2020 035.64 000015.01 000031.42 000046.43
27/02/2020 042.80 000014.72 000096.50 000111.22
28/02/2020 042.47 000014.82 000077.01 000091.83
29/02/2020 041.17 000014.90 000058.36 000073.26
01/03/2020 039.82 000014.89 000044.23 000059.12
02/03/2020 038.54 000014.82 000033.52 000048.34
03/03/2020 037.31 000014.67 000025.40 000040.08
04/03/2020 036.12 000014.47 000019.25 000033.73
05/03/2020 035.18 000014.22 000014.59 000028.81
06/03/2020 034.09 000013.94 000011.06 000025.00
07/03/2020 033.09 000013.62 000008.38 000022.00
08/03/2020 032.09 000013.27 000006.35 000019.62
09/03/2020 031.13 000012.89 000004.81 000017.70
10/03/2020 030.28 000012.49 000003.65 000016.14
11/03/2020 029.35 000012.07 000002.76 000014.84
12/03/2020 028.44 000011.66 000002.10 000013.76
13/03/2020 027.56 000011.26 000001.59 000012.85
14/03/2020 026.71 000010.88 000001.20 000012.08
15/03/2020 025.89 000010.51 000000.91 000011.42
16/03/2020 025.11 000010.15 000000.69 000010.84
17/03/2020 024.48 000009.81 000000.52 000010.33
18/03/2020 024.18 000009.47 000000.95 000010.43
19/03/2020 023.82 000009.15 000001.02 000010.17
20/03/2020 023.46 000008.84 000001.05 000009.88
21/03/2020 022.85 000008.54 000000.79 000009.33
