Data       TU     EB        SUP       Qajustada
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 047.79 000254.93 000558.26 000813.19
23/02/2020 052.98 000258.10 000588.21 000846.31
24/02/2020 047.13 000266.68 000547.16 000813.84
25/02/2020 046.79 000269.14 000518.77 000787.91
26/02/2020 055.70 000271.28 000605.25 000876.53
27/02/2020 056.47 000283.00 000658.54 000941.54
28/02/2020 059.26 000295.60 000772.25 001067.86
29/02/2020 059.49 000311.79 000878.98 001190.78
01/03/2020 052.58 000328.18 000842.62 001170.80
02/03/2020 048.20 000335.82 000784.28 001120.09
03/03/2020 043.87 000338.83 000719.48 001058.30
04/03/2020 041.57 000337.95 000659.78 000997.73
05/03/2020 039.38 000335.62 000605.02 000940.64
06/03/2020 037.29 000333.30 000554.81 000888.11
07/03/2020 035.30 000331.00 000508.76 000839.76
08/03/2020 033.95 000328.71 000466.54 000795.25
09/03/2020 032.27 000326.44 000427.82 000754.26
10/03/2020 030.63 000324.18 000392.31 000716.49
11/03/2020 029.04 000321.94 000359.75 000681.69
12/03/2020 027.84 000319.72 000329.89 000649.61
13/03/2020 026.40 000317.51 000302.51 000620.02
14/03/2020 025.01 000315.32 000277.40 000592.72
15/03/2020 024.86 000313.14 000257.09 000570.23
16/03/2020 028.39 000310.98 000251.84 000562.82
17/03/2020 028.56 000308.83 000235.46 000544.29
18/03/2020 028.86 000306.70 000220.79 000527.48
19/03/2020 028.45 000304.58 000203.96 000508.54
20/03/2020 028.43 000302.47 000190.97 000493.44
21/03/2020 043.90 000300.38 000323.72 000624.10
22/03/2020 045.56 000299.80 000312.84 000612.63
23/03/2020 044.52 000300.61 000294.38 000595.00
