Data       TU     EB        SUP       Qajustada
02/02/2020 000.00 000000.00 000000.00 000000.00
03/02/2020 000.00 000000.00 000000.00 000000.00
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 028.42 000205.74 000036.60 000242.34
23/02/2020 028.26 000204.54 000023.03 000227.57
24/02/2020 028.19 000203.34 000017.30 000220.65
25/02/2020 028.15 000202.15 000014.63 000216.78
26/02/2020 033.23 000200.97 000110.79 000311.76
27/02/2020 034.28 000202.25 000106.52 000308.77
28/02/2020 032.81 000204.43 000073.81 000278.24
29/02/2020 031.59 000205.35 000042.58 000247.92
01/03/2020 030.75 000205.29 000024.59 000229.88
02/03/2020 030.12 000204.62 000013.83 000218.45
03/03/2020 029.59 000203.51 000007.76 000211.26
04/03/2020 029.08 000202.31 000004.35 000206.67
05/03/2020 028.56 000201.13 000002.44 000203.57
06/03/2020 028.06 000199.95 000001.37 000201.32
07/03/2020 027.54 000198.78 000000.77 000199.55
08/03/2020 027.04 000197.62 000000.43 000198.05
09/03/2020 026.58 000196.46 000000.24 000196.70
10/03/2020 026.13 000195.31 000000.14 000195.44
11/03/2020 025.66 000194.16 000000.08 000194.24
12/03/2020 025.20 000193.03 000000.04 000193.07
13/03/2020 024.75 000191.90 000000.02 000191.92
14/03/2020 024.30 000190.77 000000.01 000190.78
15/03/2020 023.85 000189.65 000000.01 000189.66
16/03/2020 023.42 000188.54 000000.00 000188.55
17/03/2020 023.03 000187.44 000000.00 000187.44
18/03/2020 023.01 000186.34 000004.09 000190.43
19/03/2020 024.53 000185.25 000022.01 000207.26
20/03/2020 029.53 000184.16 000106.60 000290.76
21/03/2020 032.90 000183.09 000111.48 000294.56
22/03/2020 031.79 000184.20 000080.49 000264.69
23/03/2020 030.96 000184.43 000046.07 000230.50
