Data       TU     EB        SUP       Qajustada
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 064.67 000154.23 000128.76 000283.00
23/02/2020 064.07 000157.28 000120.34 000277.62
24/02/2020 064.43 000160.15 000122.64 000282.78
25/02/2020 064.69 000163.08 000124.19 000287.27
26/02/2020 064.50 000166.06 000120.89 000286.95
27/02/2020 064.16 000168.96 000116.18 000285.14
28/02/2020 064.30 000171.74 000116.89 000288.63
29/02/2020 064.13 000174.54 000114.27 000288.81
01/03/2020 064.06 000177.27 000112.91 000290.18
02/03/2020 064.31 000179.95 000114.14 000294.09
03/03/2020 067.45 000182.68 000165.34 000348.02
04/03/2020 070.67 000186.27 000231.03 000417.31
05/03/2020 072.43 000190.81 000269.07 000459.87
06/03/2020 073.01 000195.86 000281.99 000477.86
07/03/2020 073.24 000201.07 000287.96 000489.02
08/03/2020 073.94 000206.30 000306.70 000513.00
09/03/2020 074.38 000211.72 000320.58 000532.30
10/03/2020 072.51 000217.24 000285.47 000502.71
11/03/2020 067.67 000222.09 000231.39 000453.48
12/03/2020 063.44 000225.40 000187.55 000412.95
13/03/2020 059.90 000227.49 000152.02 000379.52
14/03/2020 056.90 000228.67 000123.22 000351.89
15/03/2020 054.34 000229.13 000099.88 000329.00
16/03/2020 052.12 000229.03 000080.95 000309.98
17/03/2020 050.19 000228.48 000065.62 000294.09
18/03/2020 048.49 000227.57 000053.19 000280.76
19/03/2020 047.02 000226.37 000043.11 000269.48
20/03/2020 050.38 000224.94 000059.79 000284.73
21/03/2020 050.74 000224.10 000054.67 000278.76
22/03/2020 051.10 000223.33 000050.71 000274.04
23/03/2020 050.42 000222.64 000043.51 000266.15
