Data       TU     EB        SUP       Qajustada
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 016.94 000042.13 000021.42 000063.55
23/02/2020 016.37 000041.80 000017.76 000059.56
24/02/2020 016.03 000041.47 000014.87 000056.34
25/02/2020 021.85 000041.15 000031.14 000072.29
26/02/2020 036.95 000040.83 000126.15 000166.98
27/02/2020 045.11 000040.52 000154.68 000195.20
28/02/2020 043.96 000040.20 000121.93 000162.13
29/02/2020 042.54 000039.89 000101.10 000140.99
01/03/2020 041.14 000039.58 000083.83 000123.41
02/03/2020 040.04 000039.27 000069.51 000108.78
03/03/2020 039.16 000038.97 000057.63 000096.60
04/03/2020 038.52 000038.67 000047.91 000086.58
05/03/2020 037.45 000038.37 000039.73 000078.09
06/03/2020 036.40 000038.07 000032.94 000071.01
07/03/2020 035.39 000037.77 000027.31 000065.09
08/03/2020 034.42 000037.48 000022.65 000060.13
09/03/2020 033.48 000037.19 000018.78 000055.97
10/03/2020 032.54 000036.90 000015.57 000052.47
11/03/2020 031.63 000036.61 000012.91 000049.52
12/03/2020 030.75 000036.33 000010.70 000047.03
13/03/2020 029.88 000036.05 000008.88 000044.92
14/03/2020 029.05 000035.77 000007.36 000043.13
15/03/2020 028.23 000035.49 000006.10 000041.59
16/03/2020 027.44 000035.22 000005.06 000040.28
17/03/2020 026.70 000034.94 000004.20 000039.14
18/03/2020 026.38 000034.67 000003.77 000038.44
19/03/2020 027.58 000034.40 000006.31 000040.71
20/03/2020 029.49 000034.14 000009.98 000044.12
21/03/2020 028.71 000033.87 000008.28 000042.15
22/03/2020 027.93 000033.61 000006.86 000040.47
23/03/2020 027.18 000033.35 000005.69 000039.04
