Data       TU     EB        SUP       Qajustada
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 050.51 000025.19 000000.00 000025.19
23/02/2020 049.60 000024.54 000000.00 000024.54
24/02/2020 048.82 000023.87 000000.00 000023.87
25/02/2020 049.51 000023.18 000006.18 000029.36
26/02/2020 053.70 000022.59 000053.82 000076.40
27/02/2020 061.38 000022.39 000193.11 000215.50
28/02/2020 065.62 000022.95 000185.36 000208.31
29/02/2020 065.74 000023.95 000114.43 000138.38
01/03/2020 065.51 000024.89 000070.57 000095.46
02/03/2020 064.41 000025.75 000041.40 000067.15
03/03/2020 063.38 000026.42 000024.29 000050.71
04/03/2020 062.39 000026.93 000014.25 000041.19
05/03/2020 062.34 000027.30 000010.99 000038.28
06/03/2020 061.85 000027.63 000006.98 000034.61
07/03/2020 060.89 000027.90 000004.09 000031.99
08/03/2020 059.93 000028.04 000002.40 000030.44
09/03/2020 059.19 000028.07 000001.41 000029.48
10/03/2020 058.35 000028.02 000000.83 000028.85
11/03/2020 057.42 000027.90 000000.49 000028.38
12/03/2020 056.51 000027.68 000000.28 000027.97
13/03/2020 055.60 000027.40 000000.17 000027.57
14/03/2020 054.72 000027.05 000000.10 000027.15
15/03/2020 053.86 000026.64 000000.06 000026.70
16/03/2020 053.02 000026.18 000000.03 000026.22
17/03/2020 052.22 000025.68 000000.02 000025.70
18/03/2020 051.65 000025.15 000000.03 000025.18
19/03/2020 051.17 000024.60 000000.12 000024.72
20/03/2020 052.78 000024.05 000011.70 000035.75
21/03/2020 053.50 000023.67 000012.33 000035.99
22/03/2020 052.80 000023.38 000007.23 000030.61
23/03/2020 052.01 000023.05 000004.24 000027.29
