Data       TU     EB        SUP       Qajustada
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 000.00 000000.00 000000.00 000000.00
24/02/2020 055.44 000163.18 000259.07 000422.25
25/02/2020 048.96 000166.02 000217.26 000383.29
26/02/2020 047.21 000166.19 000184.76 000350.95
27/02/2020 050.98 000165.74 000182.06 000347.80
28/02/2020 057.68 000166.68 000245.40 000412.08
29/02/2020 059.61 000170.56 000306.95 000477.51
01/03/2020 058.13 000175.39 000326.15 000501.55
02/03/2020 057.59 000179.45 000330.10 000509.56
03/03/2020 057.80 000183.23 000337.85 000521.07
04/03/2020 059.79 000187.08 000378.07 000565.16
05/03/2020 059.09 000191.92 000393.61 000585.53
06/03/2020 051.05 000196.38 000332.11 000528.49
07/03/2020 046.44 000197.19 000278.03 000475.22
08/03/2020 044.30 000196.32 000232.76 000429.08
09/03/2020 042.74 000195.32 000194.86 000390.18
10/03/2020 041.32 000194.32 000163.13 000357.45
11/03/2020 039.67 000193.32 000136.57 000329.89
12/03/2020 037.99 000192.33 000114.33 000306.66
13/03/2020 036.39 000191.35 000095.71 000287.06
14/03/2020 034.85 000190.37 000080.13 000270.49
15/03/2020 033.53 000189.39 000067.08 000256.47
16/03/2020 032.28 000188.42 000056.16 000244.58
17/03/2020 031.12 000187.46 000047.01 000234.47
18/03/2020 032.32 000186.50 000044.41 000230.91
19/03/2020 034.45 000185.54 000045.23 000230.77
20/03/2020 035.28 000184.59 000042.17 000226.77
21/03/2020 043.15 000183.65 000080.76 000264.41
22/03/2020 053.97 000182.71 000160.92 000343.62
23/03/2020 050.99 000184.80 000143.03 000327.82
24/03/2020 046.57 000185.64 000119.74 000305.38
25/03/2020 044.33 000184.88 000100.24 000285.12
