Data       TU     EB        SUP       Qajustada
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 000.00 000000.00 000000.00 000000.00
24/02/2020 054.20 000076.49 000325.63 000402.12
25/02/2020 051.66 000077.54 000288.46 000366.00
26/02/2020 049.72 000077.69 000254.36 000332.05
27/02/2020 055.96 000077.31 000251.77 000329.08
28/02/2020 058.46 000079.01 000251.08 000330.09
29/02/2020 059.99 000081.71 000258.34 000340.05
01/03/2020 058.21 000085.05 000247.96 000333.01
02/03/2020 058.57 000087.61 000241.76 000329.37
03/03/2020 059.99 000090.32 000246.87 000337.18
04/03/2020 060.40 000093.61 000252.50 000346.11
05/03/2020 052.09 000097.07 000222.60 000319.67
06/03/2020 049.38 000097.27 000196.24 000293.52
07/03/2020 048.73 000096.79 000173.22 000270.01
08/03/2020 046.83 000096.32 000152.71 000249.02
09/03/2020 045.38 000095.84 000134.62 000230.46
10/03/2020 043.93 000095.37 000118.68 000214.05
11/03/2020 042.47 000094.90 000104.63 000199.53
12/03/2020 040.88 000094.43 000092.24 000186.67
13/03/2020 039.30 000093.96 000081.32 000175.28
14/03/2020 037.77 000093.50 000071.69 000165.19
15/03/2020 036.33 000093.03 000063.20 000156.24
16/03/2020 039.63 000092.57 000063.41 000155.98
17/03/2020 049.85 000092.12 000103.67 000195.79
18/03/2020 056.36 000091.66 000118.52 000210.18
19/03/2020 051.81 000093.45 000104.55 000198.00
20/03/2020 050.16 000093.57 000092.37 000185.94
21/03/2020 053.92 000093.16 000093.72 000186.88
22/03/2020 059.53 000094.02 000123.07 000217.09
23/03/2020 055.38 000097.10 000114.01 000211.11
24/03/2020 051.29 000098.48 000100.51 000198.99
25/03/2020 048.63 000098.41 000088.61 000187.02
