                       CAMARGOS             ITUTINGA               FURNAS            M. MORAES        L. C. BARRETO              JAGUARA            IGARAPAVA         VOLTA GRANDE          P. COLOMBIA              CACONDE          E. DA CUNHA             LIMOEIRO           MARIMBONDO          A. VERMELHA             FUNIL-MG
                            001                  002                  006                  007                  008                  009                  010                  011                  012                  014                  015                  016                  017                  018                  211
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
25/03/2020               131.67                 0.00               753.39               209.24                48.29                19.98                57.17               127.65               273.63                53.25                34.05                 1.05               519.45               334.76               296.61
26/03/2020               126.15                 0.00               714.29               200.55                46.28                19.15                54.79               122.35               259.70                52.11                33.31                 1.02               486.57               320.11               277.69
27/03/2020               121.23                 0.00               675.91               192.44                44.41                18.38                52.58               117.41               249.67                51.18                32.72                 0.98               462.18               307.06               261.69
28/03/2020               116.86                 0.00               641.87               184.95                42.68                17.66                50.53               112.83               240.56                50.42                32.23                 0.96               441.35               295.44               248.15
29/03/2020               112.95                 0.00               611.63               178.02                41.08                17.00                48.64               108.60               232.30                49.76                31.82                 0.93               423.48               285.08               236.67
30/03/2020               109.46                 0.00               584.75               171.60                39.60                16.39                46.88               104.69               224.82                49.20                31.45                 0.92               408.08               275.86               226.90
31/03/2020               106.34                 0.00               560.83               165.77                38.25                15.83                45.29               101.13               218.09                48.74                31.16                 0.90               394.86               267.74               218.58
01/04/2020               103.86                 0.00               540.64               160.33                37.00                15.31                43.80                97.82               211.98                48.69                31.13                 0.89               383.62               260.73               211.47
02/04/2020               102.02                 0.00               524.11               155.62                35.91                14.86                42.52                94.94               206.70                49.18                31.45                 0.88               374.57               254.88               205.71
03/04/2020               100.76                 0.00               508.40               151.59                34.98                14.48                41.42                92.48               202.09                49.10                31.39                 0.87               367.47               249.84               201.16
04/04/2020                99.37                 0.00               493.23               147.16                33.96                14.05                40.21                89.78               197.47                48.63                31.09                 0.86               361.61               245.20               196.98
05/04/2020                98.23                 0.00               480.58               143.35                33.08                13.69                39.17                87.46               193.40                48.22                30.83                 0.85               355.52               241.13               193.57
