                 SANTA CLARA-PR               FUNDÃO               JORDÃO         G. B. MUNHOZ              SEGREDO       SALTO SANTIAGO         SALTO OSORIO         SALTO CAXIAS       SEGREDO+JORDAO
                            071                  072                  073                  074                  076                  077                  078                  222                  976
                          TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL
25/03/2020                16.06                 0.88                 3.53               122.65                18.06                15.16                 5.99                37.61                 0.00
26/03/2020                14.42                 0.83                 3.36               106.60                17.21                13.28                 5.25                32.95                 0.00
27/03/2020                13.08                 0.80                 3.24                99.83                16.57                11.82                 4.67                29.32                 0.00
28/03/2020                11.98                 0.78                 3.14                93.89                16.06                10.67                 4.22                26.47                 0.00
29/03/2020                11.07                 0.76                 3.07                88.71                15.70                10.07                 3.98                24.98                 0.00
30/03/2020                10.31                 0.74                 3.00                84.20                15.34                 9.55                 3.77                23.68                 0.00
31/03/2020                 9.70                 0.72                 2.91                80.13                14.92                 8.91                 3.52                22.11                 0.00
01/04/2020                 9.15                 0.71                 2.84                76.46                14.55                 8.35                 3.30                20.72                 0.00
02/04/2020                 8.69                 0.69                 2.77                73.23                14.18                 7.91                 3.13                19.62                 0.00
03/04/2020                 8.31                 0.68                 2.75                70.60                14.09                 7.67                 3.03                19.03                 0.00
04/04/2020                 8.38                 0.79                 3.19                68.95                16.33                 8.80                 3.48                21.84                 0.00
05/04/2020                 8.87                 0.93                 3.76                69.43                19.27                12.61                 4.98                31.27                 0.00
