Data       TU     EB        SUP       Qajustada
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 000.00 000000.00 000000.00 000000.00
24/02/2020 045.30 000140.94 000027.10 000168.04
25/02/2020 044.13 000140.63 000019.18 000159.81
26/02/2020 047.11 000140.12 000084.53 000224.64
27/02/2020 053.36 000140.15 000277.10 000417.25
28/02/2020 053.43 000141.49 000216.04 000357.54
29/02/2020 051.95 000142.83 000152.90 000295.73
01/03/2020 050.66 000143.81 000108.62 000252.44
02/03/2020 049.82 000144.50 000079.44 000223.94
03/03/2020 048.69 000145.00 000056.49 000201.49
04/03/2020 047.97 000145.26 000043.00 000188.26
05/03/2020 047.42 000145.38 000035.32 000180.70
06/03/2020 046.37 000145.39 000025.21 000170.60
07/03/2020 045.02 000145.20 000017.83 000163.03
08/03/2020 044.47 000144.77 000016.02 000160.79
09/03/2020 044.63 000144.25 000023.57 000167.81
10/03/2020 044.67 000143.76 000027.50 000171.26
11/03/2020 044.13 000143.29 000022.96 000166.25
12/03/2020 042.84 000142.73 000016.24 000158.97
13/03/2020 041.63 000141.97 000011.48 000153.45
14/03/2020 040.47 000141.02 000008.12 000149.14
15/03/2020 039.35 000139.92 000005.74 000145.66
16/03/2020 038.27 000138.66 000004.06 000142.72
17/03/2020 037.57 000137.27 000003.10 000140.37
18/03/2020 037.41 000135.81 000008.25 000144.06
19/03/2020 037.48 000134.36 000014.35 000148.71
20/03/2020 038.64 000132.94 000030.97 000163.91
21/03/2020 039.72 000131.70 000042.37 000174.07
22/03/2020 038.80 000130.63 000029.96 000160.59
23/03/2020 037.75 000129.45 000021.19 000150.64
24/03/2020 036.74 000128.15 000014.98 000143.13
25/03/2020 035.77 000126.73 000010.59 000137.33
