Data       TU     EB        SUP       Qajustada
04/02/2020 000.00 000000.00 000000.00 000000.00
05/02/2020 000.00 000000.00 000000.00 000000.00
06/02/2020 000.00 000000.00 000000.00 000000.00
07/02/2020 000.00 000000.00 000000.00 000000.00
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 000.00 000000.00 000000.00 000000.00
24/02/2020 048.43 000234.29 000128.98 000363.27
25/02/2020 045.97 000234.39 000110.67 000345.06
26/02/2020 046.12 000234.28 000135.75 000370.04
27/02/2020 047.78 000234.19 000182.13 000416.32
28/02/2020 047.19 000234.23 000185.32 000419.55
29/02/2020 045.79 000234.23 000171.12 000405.35
01/03/2020 045.11 000234.11 000171.63 000405.74
02/03/2020 044.97 000233.94 000169.78 000403.72
03/03/2020 043.85 000233.76 000153.56 000387.32
04/03/2020 042.07 000233.49 000128.67 000362.17
05/03/2020 040.27 000233.10 000106.62 000339.72
06/03/2020 038.17 000232.59 000085.68 000318.27
07/03/2020 036.34 000231.95 000069.35 000301.31
08/03/2020 035.03 000231.21 000059.09 000290.30
09/03/2020 033.34 000230.41 000047.51 000277.92
10/03/2020 031.80 000229.52 000038.27 000267.79
11/03/2020 030.43 000228.57 000031.13 000259.70
12/03/2020 029.23 000227.57 000025.75 000253.32
13/03/2020 028.09 000226.55 000021.43 000247.99
14/03/2020 026.58 000225.54 000017.01 000242.55
15/03/2020 024.92 000224.54 000013.50 000238.04
16/03/2020 023.34 000223.54 000010.72 000234.25
17/03/2020 021.87 000222.54 000008.51 000231.04
18/03/2020 021.45 000221.54 000013.33 000234.87
19/03/2020 020.42 000220.56 000010.64 000231.19
20/03/2020 021.66 000219.57 000035.46 000255.03
21/03/2020 025.79 000218.59 000089.06 000307.65
22/03/2020 028.51 000217.62 000116.09 000333.71
23/03/2020 030.93 000216.65 000135.75 000352.40
24/03/2020 033.16 000215.72 000151.04 000366.76
25/03/2020 034.52 000214.89 000155.34 000370.23
