Data       TU     EB        SUP       Qajustada
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 000.00 000000.00 000000.00 000000.00
24/02/2020 036.90 000104.66 000215.11 000319.78
25/02/2020 035.06 000104.73 000187.27 000291.99
26/02/2020 034.60 000104.52 000173.75 000278.27
27/02/2020 033.48 000104.26 000152.95 000257.21
28/02/2020 032.79 000103.85 000138.59 000242.44
29/02/2020 042.03 000103.36 000324.95 000428.31
01/03/2020 046.20 000104.29 000377.74 000482.04
02/03/2020 052.31 000106.05 000487.56 000593.62
03/03/2020 060.61 000109.24 000731.36 000840.60
04/03/2020 066.22 000114.76 000905.50 001020.26
05/03/2020 067.65 000122.11 000918.15 001040.26
06/03/2020 065.53 000129.90 000835.42 000965.33
07/03/2020 069.66 000136.89 000983.51 001120.40
08/03/2020 070.04 000145.31 000975.49 001120.80
09/03/2020 069.54 000153.82 000939.06 001092.88
10/03/2020 067.39 000162.07 000859.48 001021.55
11/03/2020 063.36 000169.46 000751.85 000921.31
12/03/2020 059.93 000175.40 000658.64 000834.04
13/03/2020 056.91 000180.20 000577.41 000757.61
14/03/2020 053.54 000184.06 000502.94 000687.00
15/03/2020 050.46 000186.96 000437.93 000624.89
16/03/2020 047.54 000189.05 000381.24 000570.30
17/03/2020 044.86 000190.45 000331.89 000522.34
18/03/2020 042.32 000191.26 000288.93 000480.19
19/03/2020 040.23 000191.57 000251.53 000443.10
20/03/2020 038.36 000191.49 000218.99 000410.48
21/03/2020 036.88 000191.11 000191.16 000382.28
22/03/2020 039.64 000190.50 000216.44 000406.94
23/03/2020 044.79 000190.33 000291.54 000481.87
24/03/2020 049.97 000191.13 000377.04 000568.17
25/03/2020 055.58 000193.08 000492.20 000685.28
