Data       TU     EB        SUP       Qajustada
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 000.00 000000.00 000000.00 000000.00
24/02/2020 063.27 000261.17 000225.54 000486.71
25/02/2020 061.37 000262.85 000182.77 000445.62
26/02/2020 062.78 000264.25 000266.70 000530.95
27/02/2020 065.95 000265.85 000451.96 000717.80
28/02/2020 069.02 000267.89 000626.25 000894.14
29/02/2020 069.20 000270.39 000578.81 000849.20
01/03/2020 066.53 000272.91 000425.12 000698.03
02/03/2020 065.86 000275.00 000365.49 000640.49
03/03/2020 062.77 000276.99 000256.78 000533.77
04/03/2020 059.07 000278.52 000178.29 000456.81
05/03/2020 055.72 000279.56 000123.79 000403.35
06/03/2020 052.69 000280.18 000085.95 000366.13
07/03/2020 049.94 000280.46 000059.68 000340.13
08/03/2020 047.49 000280.44 000041.44 000321.88
09/03/2020 045.27 000280.20 000028.77 000308.97
10/03/2020 044.01 000279.75 000022.62 000302.38
11/03/2020 042.83 000279.21 000018.28 000297.49
12/03/2020 041.07 000278.57 000012.69 000291.26
13/03/2020 039.38 000277.80 000008.81 000286.61
14/03/2020 037.78 000276.91 000006.12 000283.03
15/03/2020 036.43 000275.92 000004.25 000280.17
16/03/2020 035.33 000274.86 000002.97 000277.83
17/03/2020 034.47 000273.73 000002.75 000276.48
18/03/2020 034.92 000272.57 000024.68 000297.25
19/03/2020 035.39 000271.43 000040.68 000312.11
20/03/2020 037.98 000270.33 000093.26 000363.59
21/03/2020 040.41 000269.38 000130.74 000400.12
22/03/2020 042.72 000268.60 000159.08 000427.69
23/03/2020 044.15 000268.00 000161.92 000429.92
24/03/2020 042.46 000267.52 000112.42 000379.94
25/03/2020 040.64 000266.90 000078.06 000344.96
