Data       TU     EB        SUP       Qajustada
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 000.00 000000.00 000000.00 000000.00
24/02/2020 033.33 000193.87 000071.37 000265.24
25/02/2020 034.74 000194.09 000080.79 000274.88
26/02/2020 035.80 000194.95 000089.66 000284.61
27/02/2020 036.52 000196.32 000095.79 000292.12
28/02/2020 037.00 000198.06 000100.18 000298.24
29/02/2020 036.27 000200.04 000074.82 000274.86
01/03/2020 034.98 000201.63 000049.53 000251.15
02/03/2020 034.03 000202.56 000035.20 000237.76
03/03/2020 032.09 000203.04 000009.47 000212.52
04/03/2020 030.54 000202.67 000002.37 000205.04
05/03/2020 029.59 000201.70 000000.59 000202.29
06/03/2020 028.76 000200.53 000000.15 000200.67
07/03/2020 027.95 000199.36 000000.04 000199.40
08/03/2020 027.16 000198.20 000000.01 000198.21
09/03/2020 026.42 000197.05 000000.00 000197.06
10/03/2020 025.72 000195.91 000000.00 000195.91
11/03/2020 025.03 000194.77 000000.00 000194.77
12/03/2020 024.35 000193.64 000000.00 000193.64
13/03/2020 023.69 000192.52 000000.00 000192.52
14/03/2020 023.05 000191.40 000000.00 000191.40
15/03/2020 022.41 000190.29 000000.00 000190.29
16/03/2020 021.80 000189.18 000000.00 000189.18
17/03/2020 021.26 000188.08 000000.00 000188.08
18/03/2020 020.75 000186.99 000000.00 000186.99
19/03/2020 020.31 000185.90 000000.03 000185.93
20/03/2020 019.98 000184.82 000000.72 000185.54
21/03/2020 019.67 000183.75 000001.00 000184.75
22/03/2020 019.42 000182.68 000002.04 000184.72
23/03/2020 019.23 000181.62 000003.37 000184.99
24/03/2020 019.06 000180.57 000004.53 000185.10
25/03/2020 018.84 000179.52 000003.23 000182.75
