Data       TU     EB        SUP       Qajustada
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 000.00 000000.00 000000.00 000000.00
24/02/2020 040.98 000019.10 000006.09 000025.19
25/02/2020 040.51 000018.59 000004.94 000023.52
26/02/2020 049.19 000018.08 000138.16 000156.24
27/02/2020 056.40 000018.22 000224.82 000243.04
28/02/2020 057.25 000019.03 000184.83 000203.86
29/02/2020 056.48 000019.90 000144.50 000164.39
01/03/2020 055.64 000020.64 000112.87 000133.52
02/03/2020 054.62 000021.27 000088.12 000109.39
03/03/2020 053.62 000021.76 000068.80 000090.56
04/03/2020 052.65 000022.14 000053.71 000075.85
05/03/2020 051.71 000022.41 000041.93 000064.34
06/03/2020 050.79 000022.57 000032.74 000055.31
07/03/2020 049.88 000022.65 000025.56 000048.21
08/03/2020 049.07 000022.65 000019.95 000042.60
09/03/2020 048.32 000022.57 000015.58 000038.15
10/03/2020 047.51 000022.44 000012.16 000034.60
11/03/2020 046.69 000022.25 000009.49 000031.74
12/03/2020 045.88 000022.00 000007.41 000029.41
13/03/2020 045.08 000021.70 000005.79 000027.49
14/03/2020 044.29 000021.36 000004.52 000025.87
15/03/2020 043.52 000020.97 000003.53 000024.50
16/03/2020 042.77 000020.54 000002.75 000023.30
17/03/2020 042.10 000020.09 000002.15 000022.24
18/03/2020 041.61 000019.61 000001.68 000021.29
19/03/2020 042.63 000019.12 000006.84 000025.96
20/03/2020 045.04 000018.72 000020.78 000039.50
21/03/2020 046.25 000018.50 000023.29 000041.80
22/03/2020 045.71 000018.39 000018.20 000036.59
23/03/2020 045.26 000018.24 000014.31 000032.55
24/03/2020 044.48 000018.07 000011.17 000029.24
25/03/2020 043.71 000017.84 000008.72 000026.56
