                      GARIBALDI                  ITÁ          PASSO FUNDO          FOZ CHAPECO             SAO JOSE       PASSO SAO JOAO         BARRA GRANDE         CAMPOS NOVOS           MACHADINHO           MONJOLINHO        QUEBRA QUEIXO
                            089                  092                  093                  094                  102                  103                  215                  216                  217                  220                  286
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL
25/03/2020                28.46                26.07                 5.46                37.92                30.01                 1.15                 8.58                 2.82                26.74                 3.85                12.24
26/03/2020                25.84                23.81                 4.94                36.88                28.48                 1.09                 8.24                 2.56                24.85                 3.49                11.71
27/03/2020                23.60                21.95                 4.54                35.97                27.21                 1.05                 7.92                 2.33                23.56                 3.20                11.23
28/03/2020                21.68                20.40                 4.21                35.18                26.16                 1.01                 7.62                 2.14                22.61                 2.98                10.79
29/03/2020                20.02                19.08                 3.96                34.48                25.28                 0.97                 7.34                 1.98                21.85                 2.80                10.39
30/03/2020                18.59                17.97                 3.76                33.91                24.50                 0.94                 7.07                 1.84                21.18                 2.66                10.10
31/03/2020                17.37                17.04                 3.59                33.38                23.82                 0.92                 6.82                 1.72                20.58                 2.54                 9.81
01/04/2020                16.32                16.17                 3.44                32.86                23.22                 0.89                 6.74                 1.61                20.01                 2.43                 9.47
02/04/2020                15.37                15.39                 3.33                32.40                22.66                 0.87                 6.47                 1.52                19.46                 2.35                 9.16
03/04/2020                14.57                14.73                 3.29                31.98                22.16                 0.85                 6.30                 1.44                18.94                 2.32                 8.88
04/04/2020                14.10                14.34                 3.43                31.74                21.78                 0.84                 6.67                 1.39                18.59                 2.42                 8.69
05/04/2020                14.17                14.65                 3.97                31.94                22.09                 0.85                 7.31                 1.40                18.51                 2.80                 8.87
