Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 042.31 000209.53 000199.56 000409.09
24/02/2020 044.55 000210.36 000208.05 000418.41
25/02/2020 046.42 000211.63 000215.94 000427.57
26/02/2020 047.61 000213.30 000219.13 000432.42
27/02/2020 048.30 000215.22 000219.00 000434.23
28/02/2020 052.41 000217.30 000273.49 000490.80
29/02/2020 053.89 000220.40 000291.10 000511.50
01/03/2020 053.52 000223.88 000285.19 000509.07
02/03/2020 052.51 000227.24 000268.27 000495.50
03/03/2020 049.51 000230.31 000236.95 000467.26
04/03/2020 045.91 000232.60 000206.28 000438.88
05/03/2020 042.86 000234.06 000179.57 000413.63
06/03/2020 040.26 000234.87 000156.33 000391.20
07/03/2020 037.98 000235.19 000136.09 000371.28
08/03/2020 036.02 000235.12 000118.47 000353.60
09/03/2020 034.32 000234.75 000103.14 000337.89
10/03/2020 032.83 000234.14 000089.79 000323.93
11/03/2020 031.53 000233.33 000078.16 000311.50
12/03/2020 030.64 000232.38 000068.07 000300.44
13/03/2020 029.91 000231.32 000059.37 000290.69
14/03/2020 029.59 000230.20 000053.29 000283.49
15/03/2020 028.81 000229.09 000046.39 000275.48
16/03/2020 028.14 000227.98 000040.45 000268.43
17/03/2020 027.52 000226.88 000035.36 000262.24
18/03/2020 026.80 000225.78 000030.78 000256.56
19/03/2020 025.95 000224.69 000026.80 000251.49
20/03/2020 025.88 000223.60 000026.82 000250.42
21/03/2020 028.88 000222.52 000043.49 000266.01
22/03/2020 036.59 000221.45 000114.00 000335.45
23/03/2020 041.75 000221.23 000153.70 000374.93
24/03/2020 042.54 000221.89 000150.33 000372.22
