Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 054.68 000099.61 000115.53 000215.13
24/02/2020 050.60 000105.47 000102.65 000208.11
25/02/2020 048.14 000107.85 000089.92 000197.78
26/02/2020 048.78 000108.38 000082.36 000190.74
27/02/2020 050.50 000109.37 000080.74 000190.11
28/02/2020 053.42 000111.64 000091.70 000203.34
29/02/2020 055.27 000116.28 000107.85 000224.13
01/03/2020 056.38 000122.54 000127.14 000249.67
02/03/2020 055.61 000129.76 000133.39 000263.15
03/03/2020 050.05 000136.21 000116.46 000252.67
04/03/2020 047.62 000137.90 000101.47 000239.36
05/03/2020 046.00 000137.80 000088.33 000226.13
06/03/2020 045.13 000136.61 000076.90 000213.51
07/03/2020 044.19 000135.43 000066.94 000202.37
08/03/2020 043.28 000134.26 000058.28 000192.54
09/03/2020 042.46 000133.11 000050.73 000183.84
10/03/2020 041.64 000131.96 000044.17 000176.12
11/03/2020 040.81 000130.82 000038.45 000169.27
12/03/2020 040.53 000129.69 000033.58 000163.27
13/03/2020 039.93 000128.57 000029.23 000157.80
14/03/2020 039.25 000127.46 000025.45 000152.91
15/03/2020 038.76 000126.36 000022.15 000148.52
16/03/2020 039.92 000125.27 000021.37 000146.64
17/03/2020 040.04 000124.19 000019.26 000143.46
18/03/2020 039.64 000123.12 000016.79 000139.91
19/03/2020 039.58 000122.06 000015.03 000137.09
20/03/2020 039.93 000121.01 000013.98 000134.99
21/03/2020 047.78 000119.96 000046.60 000166.56
22/03/2020 051.44 000120.13 000055.63 000175.76
23/03/2020 051.97 000123.06 000058.45 000181.51
24/03/2020 048.26 000126.38 000050.89 000177.27
