Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 043.24 000085.22 000144.61 000229.83
24/02/2020 040.46 000085.01 000127.49 000212.50
25/02/2020 039.65 000084.61 000112.70 000197.32
26/02/2020 040.44 000084.22 000102.10 000186.32
27/02/2020 049.31 000083.84 000117.61 000201.45
28/02/2020 058.04 000084.66 000165.02 000249.68
29/02/2020 059.79 000087.39 000211.32 000298.71
01/03/2020 056.25 000090.55 000218.51 000309.06
02/03/2020 057.55 000092.82 000232.86 000325.68
03/03/2020 050.74 000095.39 000210.98 000306.37
04/03/2020 053.02 000096.43 000205.78 000302.21
05/03/2020 046.39 000097.94 000181.77 000279.71
06/03/2020 043.24 000098.18 000160.28 000258.45
07/03/2020 040.90 000097.90 000141.30 000239.20
08/03/2020 039.06 000097.45 000124.57 000222.02
09/03/2020 043.59 000097.00 000118.54 000215.55
10/03/2020 043.01 000096.79 000105.91 000202.70
11/03/2020 040.49 000096.49 000093.37 000189.85
12/03/2020 038.53 000096.04 000082.31 000178.35
13/03/2020 036.67 000095.60 000072.57 000168.16
14/03/2020 034.89 000095.16 000063.97 000159.13
15/03/2020 037.30 000094.72 000060.35 000155.07
16/03/2020 037.44 000094.28 000054.49 000148.77
17/03/2020 035.88 000093.85 000048.04 000141.89
18/03/2020 038.56 000093.41 000046.83 000140.24
19/03/2020 038.19 000092.98 000041.80 000134.79
20/03/2020 036.47 000092.56 000036.85 000129.41
21/03/2020 042.80 000092.13 000045.79 000137.92
22/03/2020 051.16 000091.82 000065.49 000157.31
23/03/2020 047.56 000092.97 000060.69 000153.66
24/03/2020 042.61 000093.42 000053.51 000146.93
