Data       TU     EB        SUP       Qajustada
08/02/2020 000.00 000000.00 000000.00 000000.00
09/02/2020 000.00 000000.00 000000.00 000000.00
10/02/2020 000.00 000000.00 000000.00 000000.00
11/02/2020 000.00 000000.00 000000.00 000000.00
12/02/2020 000.00 000000.00 000000.00 000000.00
13/02/2020 000.00 000000.00 000000.00 000000.00
14/02/2020 000.00 000000.00 000000.00 000000.00
15/02/2020 000.00 000000.00 000000.00 000000.00
16/02/2020 000.00 000000.00 000000.00 000000.00
17/02/2020 000.00 000000.00 000000.00 000000.00
18/02/2020 000.00 000000.00 000000.00 000000.00
19/02/2020 000.00 000000.00 000000.00 000000.00
20/02/2020 000.00 000000.00 000000.00 000000.00
21/02/2020 000.00 000000.00 000000.00 000000.00
22/02/2020 000.00 000000.00 000000.00 000000.00
23/02/2020 044.02 000080.71 000088.56 000169.27
24/02/2020 038.10 000082.86 000066.05 000148.91
25/02/2020 035.31 000083.61 000049.88 000133.48
26/02/2020 042.02 000083.81 000078.51 000162.32
27/02/2020 050.57 000085.43 000169.52 000254.95
28/02/2020 045.83 000089.44 000151.34 000240.78
29/02/2020 042.06 000092.01 000122.11 000214.12
01/03/2020 036.91 000093.58 000088.78 000182.36
02/03/2020 035.43 000094.00 000067.20 000161.20
03/03/2020 036.26 000094.14 000056.60 000150.75
04/03/2020 033.76 000094.44 000041.38 000135.82
05/03/2020 031.25 000094.29 000029.26 000123.54
06/03/2020 029.70 000093.74 000020.69 000114.43
07/03/2020 028.60 000093.02 000014.63 000107.65
08/03/2020 027.55 000092.30 000010.34 000102.65
09/03/2020 026.87 000091.60 000007.35 000098.95
10/03/2020 026.46 000090.89 000005.61 000096.51
11/03/2020 025.91 000090.20 000004.10 000094.30
12/03/2020 025.09 000089.50 000002.90 000092.40
13/03/2020 024.16 000088.82 000002.05 000090.87
14/03/2020 023.27 000088.14 000001.45 000089.59
15/03/2020 022.48 000087.46 000001.02 000088.48
16/03/2020 023.54 000086.79 000004.26 000091.05
17/03/2020 029.45 000086.12 000022.35 000108.47
18/03/2020 034.74 000085.46 000033.94 000119.40
19/03/2020 032.31 000085.55 000024.09 000109.64
20/03/2020 031.04 000085.22 000017.42 000102.64
21/03/2020 030.28 000084.72 000012.84 000097.55
22/03/2020 030.10 000084.10 000010.69 000094.79
23/03/2020 029.84 000083.47 000008.65 000092.12
24/03/2020 028.76 000082.83 000006.11 000088.95
